infectee,infectors
Ant62,['SEED']
Ant207,['Ant62']
Ant353,"['Ant207', 'Ant62']"
Ant607,"['Ant353', 'Ant62', 'Ant207']"
Ant13,"['Ant353', 'Ant607', 'Ant207', 'Ant62']"
Ant40,"['Ant353', 'Ant607', 'Ant207', 'Ant62']"
Ant665,"['Ant607', 'Ant353', 'Ant207', 'Ant13', 'Ant40', 'Ant62']"
Ant169,"['Ant665', 'Ant353', 'Ant40', 'Ant13', 'Ant607', 'Ant207', 'Ant62']"
Ant57,"['Ant665', 'Ant353', 'Ant607', 'Ant207', 'Ant13', 'Ant169', 'Ant40', 'Ant62']"
Ant229,"['Ant353', 'Ant607', 'Ant207', 'Ant57', 'Ant13', 'Ant169']"
Ant334,"['Ant665', 'Ant353', 'Ant229', 'Ant607', 'Ant13', 'Ant169', 'Ant40', 'Ant62']"
Ant5,"['Ant665', 'Ant353', 'Ant334', 'Ant40', 'Ant607', 'Ant207', 'Ant13', 'Ant169', 'Ant62']"
Ant209,"['Ant665', 'Ant353', 'Ant229', 'Ant334', 'Ant57', 'Ant40', 'Ant5', 'Ant13', 'Ant169', 'Ant62', 'Ant607', 'Ant207']"
Ant113,"['Ant665', 'Ant353', 'Ant229', 'Ant607', 'Ant207', 'Ant5', 'Ant57', 'Ant13', 'Ant169', 'Ant40', 'Ant62']"
Ant50,"['Ant665', 'Ant353', 'Ant229', 'Ant113', 'Ant334', 'Ant607', 'Ant207', 'Ant209', 'Ant57', 'Ant13', 'Ant169', 'Ant40', 'Ant62']"
Ant592,"['Ant229', 'Ant113', 'Ant26', 'Ant57', 'Ant607', 'Ant209', 'Ant207', 'Ant13', 'Ant169']"
Ant242,"['Ant665', 'Ant353', 'Ant229', 'Ant113', 'Ant334', 'Ant607', 'Ant209', 'Ant207', 'Ant50', 'Ant57', 'Ant592', 'Ant13', 'Ant169', 'Ant40', 'Ant62']"
Ant218,"['Ant665', 'Ant353', 'Ant229', 'Ant334', 'Ant242', 'Ant50', 'Ant57', 'Ant40', 'Ant5', 'Ant592', 'Ant13', 'Ant169', 'Ant607', 'Ant207', 'Ant209', 'Ant62']"
Ant74,"['Ant665', 'Ant353', 'Ant334', 'Ant50', 'Ant40', 'Ant5', 'Ant218', 'Ant607', 'Ant209', 'Ant207', 'Ant13', 'Ant169', 'Ant62']"
Ant226,"['Ant665', 'Ant353', 'Ant229', 'Ant607', 'Ant207', 'Ant5', 'Ant242', 'Ant209', 'Ant113', 'Ant50', 'Ant57', 'Ant74', 'Ant592', 'Ant13', 'Ant169', 'Ant40', 'Ant62']"
Ant30,"['Ant665', 'Ant353', 'Ant229', 'Ant226', 'Ant113', 'Ant334', 'Ant242', 'Ant50', 'Ant57', 'Ant40', 'Ant5', 'Ant74', 'Ant592', 'Ant13', 'Ant169', 'Ant218', 'Ant62', 'Ant607', 'Ant207', 'Ant209']"
Ant196,"['Ant665', 'Ant353', 'Ant229', 'Ant226', 'Ant113', 'Ant242', 'Ant218', 'Ant607', 'Ant207', 'Ant5', 'Ant209', 'Ant50', 'Ant74', 'Ant592', 'Ant30', 'Ant13', 'Ant169', 'Ant40']"
Ant318,"['Ant353', 'Ant229', 'Ant226', 'Ant113', 'Ant26', 'Ant242', 'Ant50', 'Ant57', 'Ant607', 'Ant218', 'Ant207', 'Ant5', 'Ant209', 'Ant592', 'Ant30', 'Ant13', 'Ant169']"
Ant43,"['Ant665', 'Ant353', 'Ant229', 'Ant226', 'Ant113', 'Ant196', 'Ant334', 'Ant242', 'Ant50', 'Ant57', 'Ant218', 'Ant607', 'Ant209', 'Ant207', 'Ant5', 'Ant74', 'Ant592', 'Ant30', 'Ant13', 'Ant169', 'Ant40', 'Ant62']"
Ant376,"['Ant665', 'Ant353', 'Ant229', 'Ant226', 'Ant196', 'Ant334', 'Ant242', 'Ant50', 'Ant57', 'Ant43', 'Ant40', 'Ant5', 'Ant74', 'Ant169', 'Ant218', 'Ant62', 'Ant607', 'Ant207', 'Ant209', 'Ant30']"
Ant159,"['Ant665', 'Ant353', 'Ant229', 'Ant226', 'Ant113', 'Ant196', 'Ant242', 'Ant50', 'Ant57', 'Ant43', 'Ant40', 'Ant318', 'Ant218', 'Ant607', 'Ant209', 'Ant207', 'Ant5', 'Ant376', 'Ant592', 'Ant30', 'Ant13', 'Ant169', 'Ant62']"
Ant105,"['Ant665', 'Ant353', 'Ant226', 'Ant113', 'Ant196', 'Ant334', 'Ant242', 'Ant50', 'Ant57', 'Ant40', 'Ant318', 'Ant159', 'Ant5', 'Ant74', 'Ant169', 'Ant218', 'Ant62', 'Ant607', 'Ant207', 'Ant376', 'Ant209', 'Ant30']"
Ant142,"['Ant665', 'Ant353', 'Ant229', 'Ant226', 'Ant113', 'Ant196', 'Ant334', 'Ant242', 'Ant50', 'Ant57', 'Ant376', 'Ant607', 'Ant209', 'Ant318', 'Ant159', 'Ant207', 'Ant5', 'Ant13', 'Ant169', 'Ant105', 'Ant40', 'Ant62']"
Ant342,"['Ant665', 'Ant353', 'Ant229', 'Ant226', 'Ant113', 'Ant196', 'Ant334', 'Ant242', 'Ant50', 'Ant57', 'Ant43', 'Ant40', 'Ant318', 'Ant159', 'Ant5', 'Ant592', 'Ant13', 'Ant169', 'Ant218', 'Ant62', 'Ant607', 'Ant207', 'Ant376', 'Ant209', 'Ant30', 'Ant105']"
Ant20,"['Ant665', 'Ant353', 'Ant229', 'Ant226', 'Ant113', 'Ant196', 'Ant26', 'Ant242', 'Ant218', 'Ant607', 'Ant318', 'Ant159', 'Ant342', 'Ant207', 'Ant43', 'Ant5', 'Ant209', 'Ant40', 'Ant50', 'Ant57', 'Ant74', 'Ant376', 'Ant592', 'Ant30', 'Ant13', 'Ant142', 'Ant169', 'Ant62', 'Ant334']"
Ant126,"['Ant665', 'Ant353', 'Ant229', 'Ant226', 'Ant196', 'Ant376', 'Ant607', 'Ant209', 'Ant218', 'Ant159', 'Ant342', 'Ant207', 'Ant5', 'Ant242', 'Ant50', 'Ant57', 'Ant74', 'Ant592', 'Ant30', 'Ant13', 'Ant169', 'Ant105', 'Ant43', 'Ant40', 'Ant20', 'Ant334']"
