infectee,infectors
Ant149,['SEED']
Ant198,['Ant149']
Ant91,['Ant198']
Ant257,['Ant198']
Ant260,['Ant198']
Ant530,['Ant198']
Ant97,['Ant198']
Ant552,['Ant198']
Ant190,['Ant530']
Ant394,['Ant190']
Ant140,['Ant190']
Ant560,['Ant190']
Ant207,['Ant190']
Ant507,['Ant190']
Ant564,['Ant190']
Ant458,['Ant190']
Ant6,['Ant198']
Ant311,['Ant190']
Ant324,['Ant198']
Ant475,['Ant190']
Ant527,['Ant190']
Ant318,['Ant198']
Ant215,['Ant190']
Ant115,['Ant530']
Ant117,['Ant115']
Ant191,['Ant115']
Ant599,['Ant115']
Ant73,['Ant115']
Ant268,['Ant115']
Ant298,['Ant115']
Ant395,['Ant117']
Ant7,['Ant115']
Ant501,['Ant115']
Ant38,['Ant115']
Ant178,['Ant117']
Ant255,['Ant318']
Ant159,['Ant117']
Ant342,['Ant117']
Ant169,['Ant117']
Ant156,['Ant115']
Ant289,['Ant117']
Ant30,['Ant117']
Ant50,['Ant117']
Ant137,['Ant115']
Ant347,['Ant115']
Ant232,['Ant191']
Ant593,['Ant115']
Ant60,['Ant115']
Ant492,['Ant115']
Ant43,['Ant115']
Ant390,['Ant117']
Ant540,['Ant501']
Ant26,['Ant540']
Ant64,['Ant540']
Ant243,['Ant540']
Ant113,['Ant540']
Ant518,['Ant540']
Ant14,['Ant540']
Ant252,['Ant318']
Ant23,['Ant540']
Ant462,['Ant540']
Ant238,['Ant540']
Ant437,['Ant540']
Ant76,['Ant540']
Ant482,['Ant540']
Ant0,['Ant540']
Ant139,['Ant540']
Ant158,['Ant117']
Ant148,['Ant115']
Ant217,['Ant540']
Ant29,['Ant540']
Ant186,['Ant540']
Ant55,['Ant115']
Ant173,['Ant540']
Ant332,['Ant113']
Ant4,['Ant115']
Ant621,['Ant599']
Ant218,['Ant540']
Ant153,['Ant621']
Ant13,['Ant621']
Ant614,['Ant540']
Ant294,['Ant621']
Ant202,['Ant621']
Ant380,['Ant540']
Ant44,['Ant621']
Ant356,['Ant621']
Ant196,['Ant621']
Ant27,['Ant621']
Ant209,['Ant621']
Ant308,['Ant356']
Ant100,['Ant621']
Ant127,['Ant621']
Ant109,['Ant621']
Ant9,['Ant621']
Ant387,['Ant540']
Ant176,['Ant621']
Ant52,['Ant356']
Ant353,['Ant356']
Ant195,['Ant621']
Ant42,['Ant621']
Ant19,['Ant621']
Ant400,['Ant621']
Ant620,['Ant243']
Ant131,['Ant621']
Ant98,['Ant621']
Ant242,['Ant620']
Ant263,['Ant620']
Ant63,['Ant620']
Ant219,['Ant191']
Ant32,['Ant621']
Ant142,['Ant621']
Ant124,['Ant621']
Ant538,['Ant620']
