infectee,infectors
Ant380,['SEED']
Ant64,['Ant380']
Ant614,['Ant380']
Ant215,['Ant614']
Ant30,['Ant215']
Ant390,['Ant614']
Ant176,['Ant30']
Ant43,['Ant176']
Ant260,['Ant176']
Ant191,['Ant260']
Ant52,['Ant260']
Ant347,['Ant260']
Ant63,['Ant176']
Ant394,['Ant260']
Ant7,['Ant260']
Ant32,['Ant260']
Ant218,['Ant260']
Ant294,['Ant176']
Ant127,['Ant260']
Ant507,['Ant347']
Ant356,['Ant507']
Ant27,['Ant507']
Ant169,['Ant260']
Ant97,['Ant260']
Ant178,['Ant260']
Ant76,['Ant507']
Ant29,['Ant260']
Ant26,['Ant260']
Ant400,['Ant260']
Ant137,['Ant394']
Ant482,['Ant137']
Ant4,['Ant482']
Ant115,['Ant507']
Ant324,['Ant356']
Ant268,['Ant482']
Ant238,['Ant324']
Ant593,['Ant324']
Ant552,['Ant482']
Ant100,['Ant324']
Ant19,['Ant482']
Ant117,['Ant482']
Ant243,['Ant394']
Ant207,['Ant243']
Ant202,['Ant243']
Ant148,['Ant324']
Ant44,['Ant243']
Ant501,['Ant243']
Ant255,['Ant243']
Ant492,['Ant243']
Ant109,['Ant243']
Ant242,['Ant243']
Ant219,['Ant243']
Ant209,['Ant324']
Ant257,['Ant243']
Ant159,['Ant324']
Ant139,['Ant243']
Ant60,['Ant243']
Ant73,['Ant324']
Ant98,['Ant243']
Ant518,['Ant243']
Ant308,['Ant243']
Ant289,['Ant324']
Ant153,['Ant243']
Ant173,['Ant243']
Ant538,['Ant243']
Ant55,['Ant243']
Ant387,['Ant243']
Ant23,['Ant243']
Ant190,['Ant243']
Ant621,['Ant243']
Ant540,['Ant482']
Ant564,['Ant243']
Ant298,['Ant243']
Ant38,['Ant243']
Ant156,['Ant243']
Ant560,['Ant324']
Ant42,['Ant243']
Ant158,['Ant324']
Ant0,['Ant482']
Ant599,['Ant324']
