infectee,infectors
148M,['SEED']
195F,['148M']
203F,['148M']
162M,['203F']
167M,['195F']
170M,['203F']
141M,['203F']
197F,['148M']
199F,['167M']
144M,['203F']
179M,['203F']
207F,['141M']
205F,['144M']
204F,['141M']
142M,['204F']
206F,['142M']
150M,['195F']
156M,['203F']
200F,['150M']
165M,['206F']
192F,['142M']
164M,['206F']
157M,['204F']
191F,['164M']
196F,['144M']
146M,['203F']
161M,['204F']
202F,['162M']
169M,['196F']
173M,['207F']
166M,['199F']
180M,['200F']
143M,['207F']
194F,['162M']
152M,['196F']
172M,['196F']
151M,['196F']
198F,['143M']
155M,['194F']
160M,['194F']
158M,['198F']
145M,['196F']
153M,['207F']
201F,['145M']
208F,['153M']
168M,['201F']
