infectee,infectors
Ant518,['SEED']
Ant42,['Ant518']
Ant173,['Ant518']
Ant63,['Ant173']
Ant564,['Ant173']
Ant593,['Ant173']
Ant139,['Ant173']
Ant115,['Ant564']
Ant4,['Ant173']
Ant242,['Ant173']
Ant176,['Ant564']
Ant380,['Ant173']
Ant97,['Ant176']
Ant243,['Ant173']
Ant400,['Ant176']
Ant44,['Ant176']
Ant218,['Ant173']
Ant215,['Ant139']
Ant356,['Ant243']
Ant60,['Ant356']
Ant190,['Ant173']
Ant387,['Ant356']
Ant219,['Ant173']
Ant501,['Ant243']
Ant64,['Ant501']
Ant191,['Ant501']
Ant540,['Ant501']
Ant0,['Ant501']
Ant55,['Ant501']
Ant294,['Ant176']
Ant109,['Ant501']
Ant538,['Ant501']
Ant156,['Ant501']
Ant482,['Ant501']
Ant23,['Ant501']
Ant19,['Ant501']
Ant153,['Ant501']
Ant29,['Ant501']
Ant560,['Ant501']
Ant38,['Ant501']
Ant268,['Ant482']
Ant117,['Ant501']
Ant614,['Ant501']
Ant76,['Ant501']
Ant127,['Ant501']
Ant207,['Ant501']
Ant255,['Ant176']
Ant394,['Ant501']
Ant26,['Ant501']
Ant202,['Ant501']
Ant30,['Ant44']
Ant621,['Ant501']
Ant347,['Ant501']
Ant32,['Ant501']
Ant390,['Ant501']
Ant178,['Ant501']
