infectee,infectors
Ant229,['SEED']
Ant329,['Ant229']
Ant398,['Ant329']
Ant256,['Ant329']
Ant26,['Ant256']
Ant219,['Ant329']
Ant126,['Ant256']
Ant54,['Ant329']
Ant53,['Ant329']
Ant105,['Ant256']
Ant380,['Ant329']
Ant159,['Ant329']
Ant347,['Ant329']
Ant60,['Ant329']
Ant334,['Ant329']
Ant607,['Ant329']
Ant111,['Ant334']
Ant9,['Ant111']
Ant475,['Ant111']
Ant109,['Ant111']
Ant191,['Ant111']
Ant289,['Ant111']
Ant51,['Ant111']
Ant227,['Ant111']
Ant482,['Ant126']
Ant186,['Ant227']
Ant610,['Ant227']
Ant178,['Ant227']
Ant137,['Ant191']
Ant476,['Ant111']
Ant244,['Ant191']
Ant30,['Ant227']
Ant97,['Ant227']
Ant245,['Ant191']
Ant576,['Ant227']
Ant342,['Ant227']
Ant27,['Ant227']
Ant560,['Ant227']
Ant35,['Ant111']
Ant4,['Ant227']
Ant564,['Ant227']
Ant397,['Ant227']
Ant301,['Ant227']
Ant580,['Ant227']
Ant0,['Ant227']
Ant112,['Ant227']
Ant74,['Ant191']
Ant540,['Ant580']
Ant48,['Ant227']
Ant17,['Ant540']
Ant331,['Ant540']
Ant43,['Ant540']
Ant20,['Ant540']
Ant124,['Ant126']
Ant62,['Ant540']
Ant206,['Ant540']
Ant650,['Ant482']
Ant194,['Ant227']
Ant172,['Ant540']
Ant556,['Ant227']
Ant115,['Ant540']
Ant72,['Ant111']
Ant260,['Ant540']
Ant215,['Ant540']
Ant158,['Ant540']
Ant663,['Ant540']
Ant252,['Ant227']
Ant954,['Ant540']
Ant71,['Ant227']
Ant264,['Ant540']
Ant190,['Ant227']
Ant1,['Ant227']
Ant614,['Ant540']
Ant324,['Ant540']
Ant13,['Ant540']
Ant81,['Ant540']
Ant96,['Ant540']
Ant251,['Ant227']
Ant604,['Ant540']
Ant518,['Ant72']
Ant220,['Ant540']
Ant175,['Ant540']
Ant243,['Ant227']
Ant196,['Ant540']
Ant52,['Ant540']
Ant6,['Ant227']
Ant242,['Ant540']
Ant23,['Ant540']
Ant117,['Ant540']
Ant390,['Ant227']
Ant621,['Ant663']
Ant12,['Ant621']
Ant673,['Ant621']
Ant70,['Ant621']
