infectee,infectors
X51,['SEED']
X15,['X51']
X21,['X51']
X42,['X21']
X45,['X42']
X20,['X21']
X60,['X45']
X40,['X20']
X16,['X15']
X61,['X16']
X63,['X21']
X25,['X16']
X7,['X16']
X53,['X61']
X85,['X60']
X48,['X25']
X46,['X25']
X79,['X48']
X81,['X53']
X34,['X53']
X67,['X25']
X24,['X25']
X70,['X25']
X44,['X20']
X52,['X16']
X73,['X34']
X58,['X44']
X2,['X15']
X9,['X2']
X37,['X44']
X38,['X25']
X36,['X46']
X83,['X2']
X49,['X16']
X26,['X2']
X80,['X34']
X72,['X25']
X68,['X34']
X30,['X2']
X84,['X25']
X65,['X34']
X57,['X53']
X1,['X2']
X5,['X1']
X12,['X2']
X71,['X1']
X19,['X1']
X75,['X2']
X78,['X34']
X77,['X12']
X43,['X34']
X64,['X2']
X13,['X15']
X18,['X2']
X17,['X2']
X22,['X1']
X39,['X2']
X74,['X34']
X41,['X2']
X14,['X18']
X8,['X1']
X76,['X34']
X29,['X1']
X11,['X1']
X69,['X11']
X62,['X17']
X35,['X26']
X28,['X2']
X59,['X19']
X55,['X11']
X31,['X2']
X32,['X2']
X56,['X22']
X23,['X1']
X6,['X2']
X86,['X11']
X4,['X2']
X27,['X1']
X33,['X2']
X54,['X32']
X82,['X5']
X10,['X2']
X47,['X11']
X50,['X19']
X66,['X8']
X3,['X2']
