infectee,infectors
096354362,['SEED']
096541782,['096354362']
096534590,['096541782']
096358797,['096534590']
079568558,['096354362']
073073256,['096534590']
072826796,['073073256']
072627638,['079568558']
096366573,['073073256']
072820553,['073073256']
072805568,['072627638']
096527542,['072805568']
073053891,['073073256']
096516317,['072627638']
079770547,['096366573']
096522794,['096527542']
062101614,['096522794']
072849603,['079770547']
096512613,['073053891']
096538013,['096512613']
096383077,['096512613']
096378843,['096538013']
079775067,['079770547']
,['096538013']
073075639,['096538013']
096526329,['096538013']
079783870,['096534590']
096553083,['']
079784278,['']
072827837,['072849603']
096382600,['096553083']
079772634,['072827837']
096369831,['073053891']
096538277,['096369831']
072819792,['096538277']
096375096,['096522794']
072892020,['072827837']
073007555,['072819792']
073022544,['072827837']
072639528,['096369831']
072789331,['072827837']
079590037,['072826796']
073015030,['073007555']
072812092,['073022544']
096530773,['072892020']
067005114,['072892020']
079775256,['073073256']
079604796,['073015030']
079596884,['072849603']
067103278,['067005114']
073102538,['072892020']
096381368,['079604796']
096379033,['096512613']
073047778,['067005114']
096368318,['072812092']
073097879,['072812092']
073040264,['096383077']
096541815,['073040264']
096515364,['096541815']
