infectee,infectors
Ant52,['SEED']
Ant540,['Ant52']
Ant220,['Ant52']
Ant17,['Ant540']
Ant564,['Ant540']
Ant70,['Ant540']
Ant251,['Ant220']
Ant334,['Ant540']
Ant740,['Ant540']
Ant194,['Ant540']
Ant68,['Ant540']
Ant173,['Ant540']
Ant186,['Ant540']
Ant650,['Ant540']
Ant538,['Ant540']
Ant501,['Ant540']
Ant53,['Ant540']
Ant227,['Ant540']
Ant97,['Ant540']
Ant238,['Ant194']
Ant30,['Ant540']
Ant296,['Ant194']
Ant19,['Ant540']
Ant159,['Ant540']
Ant112,['Ant540']
Ant462,['Ant540']
Ant263,['Ant112']
Ant509,['Ant112']
Ant607,['Ant540']
Ant28,['Ant540']
Ant102,['Ant112']
Ant289,['Ant540']
Ant482,['Ant540']
Ant59,['Ant540']
Ant115,['Ant540']
Ant191,['Ant540']
Ant207,['Ant115']
Ant105,['Ant540']
Ant13,['Ant540']
Ant212,['Ant540']
Ant190,['Ant540']
Ant665,['Ant115']
Ant398,['Ant540']
Ant218,['Ant540']
Ant614,['Ant540']
Ant394,['Ant540']
Ant229,['Ant540']
Ant111,['Ant115']
Ant35,['Ant540']
Ant217,['Ant540']
Ant81,['Ant540']
Ant161,['Ant115']
Ant178,['Ant540']
Ant38,['Ant540']
Ant118,['Ant540']
Ant301,['Ant118']
Ant331,['Ant118']
Ant26,['Ant118']
Ant256,['Ant665']
Ant117,['Ant256']
Ant131,['Ant540']
Ant221,['Ant256']
Ant2,['Ant256']
Ant278,['Ant256']
Ant156,['Ant256']
Ant158,['Ant256']
Ant124,['Ant256']
Ant27,['Ant256']
Ant9,['Ant256']
Ant560,['Ant256']
Ant7,['Ant256']
Ant534,['Ant256']
Ant0,['Ant221']
Ant210,['Ant256']
Ant57,['Ant118']
Ant137,['Ant118']
Ant50,['Ant118']
Ant638,['Ant256']
Ant215,['Ant256']
Ant244,['Ant118']
Ant580,['Ant256']
Ant395,['Ant256']
Ant599,['Ant580']
Ant170,['Ant256']
Ant252,['Ant256']
Ant299,['Ant256']
Ant556,['Ant256']
Ant632,['Ant256']
Ant206,['Ant256']
Ant592,['Ant256']
Ant260,['Ant256']
Ant492,['Ant256']
Ant610,['Ant256']
Ant604,['Ant256']
Ant23,['Ant256']
Ant172,['Ant256']
Ant1,['Ant256']
Ant149,['Ant256']
Ant85,['Ant256']
Ant196,['Ant256']
Ant621,['Ant256']
Ant663,['Ant256']
Ant66,['Ant621']
Ant15,['Ant621']
Ant243,['Ant256']
Ant71,['Ant256']
Ant530,['Ant540']
Ant62,['Ant256']
Ant169,['Ant256']
Ant390,['Ant621']
Ant311,['Ant117']
Ant313,['Ant256']
Ant176,['Ant621']
Ant954,['Ant256']
Ant264,['Ant256']
Ant209,['Ant256']
Ant65,['Ant256']
Ant356,['Ant256']
Ant60,['Ant621']
Ant245,['Ant621']
Ant219,['Ant256']
Ant12,['Ant256']
Ant51,['Ant256']
Ant255,['Ant256']
Ant342,['Ant256']
Ant476,['Ant256']
Ant142,['Ant256']
Ant475,['Ant256']
Ant198,['Ant256']
Ant127,['Ant621']
Ant109,['Ant256']
Ant32,['Ant621']
Ant43,['Ant256']
Ant324,['Ant256']
Ant458,['Ant256']
Ant175,['Ant256']
Ant250,['Ant621']
Ant76,['Ant256']
Ant126,['Ant621']
Ant242,['Ant256']
Ant308,['Ant256']
Ant380,['Ant256']
Ant347,['Ant580']
Ant329,['Ant256']
Ant20,['Ant256']
Ant96,['Ant621']
Ant6,['Ant256']
Ant74,['Ant256']
Ant437,['Ant256']
Ant576,['Ant621']
Ant44,['Ant621']
Ant72,['Ant256']
Ant298,['Ant256']
Ant518,['Ant256']
Ant4,['Ant356']
Ant397,['Ant621']
Ant48,['Ant256']
Ant673,['Ant256']
Ant391,['Ant256']
Ant54,['Ant256']
