infectee,infectors
Ant25,['SEED']
Ant492,['Ant25']
Ant387,['Ant25']
Ant263,"['Ant81', 'Ant25', 'Ant492']"
Ant332,"['Ant263', 'Ant25']"
Ant243,"['Ant263', 'Ant81', 'Ant332', 'Ant25', 'Ant492']"
Ant97,"['Ant81', 'Ant332', 'Ant243', 'Ant492', 'Ant387']"
Ant209,"['Ant263', 'Ant332', 'Ant25', 'Ant243', 'Ant492', 'Ant387']"
Ant174,"['Ant209', 'Ant263', 'Ant81', 'Ant332', 'Ant243', 'Ant97', 'Ant492', 'Ant387', 'Ant25']"
Ant57,"['Ant209', 'Ant263', 'Ant81', 'Ant174', 'Ant332', 'Ant25', 'Ant243', 'Ant97', 'Ant492', 'Ant387']"
Ant20,"['Ant209', 'Ant263', 'Ant81', 'Ant174', 'Ant332', 'Ant25', 'Ant243', 'Ant57', 'Ant492']"
Ant159,"['Ant209', 'Ant263', 'Ant81', 'Ant332', 'Ant25', 'Ant243', 'Ant57', 'Ant97', 'Ant492', 'Ant20']"
Ant261,"['Ant209', 'Ant263', 'Ant81', 'Ant159', 'Ant174', 'Ant332', 'Ant25', 'Ant243', 'Ant57', 'Ant387', 'Ant20']"
Ant139,"['Ant332', 'Ant20', 'Ant492']"
Ant196,"['Ant209', 'Ant263', 'Ant159', 'Ant174', 'Ant332', 'Ant25', 'Ant243', 'Ant57', 'Ant97', 'Ant492', 'Ant387', 'Ant20']"
Ant308,"['Ant209', 'Ant263', 'Ant159', 'Ant332', 'Ant25', 'Ant243', 'Ant196', 'Ant57', 'Ant97', 'Ant492', 'Ant387', 'Ant20']"
Ant663,"['Ant209', 'Ant263', 'Ant332', 'Ant159', 'Ant25', 'Ant243', 'Ant196', 'Ant57', 'Ant97', 'Ant387', 'Ant20', 'Ant308']"
Ant256,"['Ant663', 'Ant209', 'Ant263', 'Ant159', 'Ant139', 'Ant332', 'Ant25', 'Ant196', 'Ant57', 'Ant97', 'Ant492', 'Ant308', 'Ant261', 'Ant20']"
Ant156,"['Ant332', 'Ant256', 'Ant20']"
Ant50,"['Ant663', 'Ant209', 'Ant156', 'Ant263', 'Ant81', 'Ant159', 'Ant139', 'Ant174', 'Ant332', 'Ant25', 'Ant243', 'Ant196', 'Ant57', 'Ant308', 'Ant492', 'Ant387', 'Ant256', 'Ant20']"
Ant250,"['Ant663', 'Ant209', 'Ant159', 'Ant174', 'Ant332', 'Ant25', 'Ant243', 'Ant50', 'Ant196', 'Ant57', 'Ant97', 'Ant492', 'Ant308', 'Ant256', 'Ant20']"
Ant646,"['Ant156', 'Ant332', 'Ant256', 'Ant50', 'Ant20']"
Ant614,"['Ant209', 'Ant263', 'Ant81', 'Ant159', 'Ant332', 'Ant25', 'Ant243', 'Ant50', 'Ant196', 'Ant57', 'Ant97', 'Ant308', 'Ant492', 'Ant387', 'Ant250', 'Ant256', 'Ant20']"
Ant318,"['Ant156', 'Ant261', 'Ant332', 'Ant159', 'Ant646', 'Ant174', 'Ant50', 'Ant196', 'Ant57', 'Ant256', 'Ant25', 'Ant20']"
Ant114,"['Ant209', 'Ant318', 'Ant81', 'Ant159', 'Ant174', 'Ant332', 'Ant25', 'Ant243', 'Ant50', 'Ant196', 'Ant57', 'Ant614', 'Ant97', 'Ant308', 'Ant492', 'Ant387', 'Ant250', 'Ant256', 'Ant261', 'Ant20']"
Ant334,"['Ant209', 'Ant263', 'Ant81', 'Ant159', 'Ant332', 'Ant25', 'Ant114', 'Ant243', 'Ant50', 'Ant57', 'Ant614', 'Ant97', 'Ant492', 'Ant387', 'Ant250', 'Ant256', 'Ant20', 'Ant308']"
Ant549,"['Ant663', 'Ant209', 'Ant263', 'Ant318', 'Ant81', 'Ant159', 'Ant646', 'Ant174', 'Ant332', 'Ant25', 'Ant114', 'Ant243', 'Ant50', 'Ant196', 'Ant57', 'Ant614', 'Ant97', 'Ant308', 'Ant492', 'Ant250', 'Ant256', 'Ant261', 'Ant20', 'Ant334']"
Ant27,"['Ant663', 'Ant209', 'Ant81', 'Ant159', 'Ant174', 'Ant332', 'Ant25', 'Ant114', 'Ant243', 'Ant549', 'Ant50', 'Ant196', 'Ant57', 'Ant614', 'Ant492', 'Ant387', 'Ant250', 'Ant256', 'Ant261', 'Ant308', 'Ant20', 'Ant334']"
Ant71,"['Ant663', 'Ant263', 'Ant81', 'Ant174', 'Ant243', 'Ant50', 'Ant196', 'Ant57', 'Ant261', 'Ant334', 'Ant97', 'Ant387', 'Ant27', 'Ant308']"
Ant638,"['Ant263', 'Ant81', 'Ant174', 'Ant25', 'Ant243', 'Ant549', 'Ant71', 'Ant261', 'Ant614', 'Ant387', 'Ant250', 'Ant27', 'Ant20', 'Ant308']"
Ant320,"['Ant81', 'Ant261', 'Ant318', 'Ant156', 'Ant646', 'Ant139', 'Ant174', 'Ant332', 'Ant114', 'Ant243', 'Ant549', 'Ant50', 'Ant57', 'Ant387', 'Ant256', 'Ant27', 'Ant20', 'Ant334']"
Ant245,"['Ant320', 'Ant663', 'Ant209', 'Ant263', 'Ant318', 'Ant81', 'Ant159', 'Ant174', 'Ant332', 'Ant25', 'Ant114', 'Ant243', 'Ant549', 'Ant50', 'Ant196', 'Ant57', 'Ant614', 'Ant308', 'Ant492', 'Ant387', 'Ant256', 'Ant261', 'Ant27', 'Ant20', 'Ant334']"
Ant30,"['Ant663', 'Ant209', 'Ant263', 'Ant81', 'Ant159', 'Ant174', 'Ant332', 'Ant114', 'Ant243', 'Ant245', 'Ant549', 'Ant50', 'Ant196', 'Ant57', 'Ant638', 'Ant614', 'Ant261', 'Ant492', 'Ant387', 'Ant250', 'Ant27', 'Ant20', 'Ant308', 'Ant334']"
Ant191,"['Ant663', 'Ant209', 'Ant263', 'Ant318', 'Ant81', 'Ant159', 'Ant174', 'Ant332', 'Ant25', 'Ant114', 'Ant243', 'Ant245', 'Ant549', 'Ant50', 'Ant196', 'Ant261', 'Ant71', 'Ant638', 'Ant614', 'Ant30', 'Ant308', 'Ant492', 'Ant387', 'Ant256', 'Ant27', 'Ant20', 'Ant334']"
Ant353,"['Ant261', 'Ant332', 'Ant81', 'Ant159', 'Ant174', 'Ant245', 'Ant549', 'Ant191', 'Ant71', 'Ant638', 'Ant30', 'Ant492', 'Ant256', 'Ant20', 'Ant114', 'Ant334']"
Ant13,"['Ant320', 'Ant209', 'Ant263', 'Ant318', 'Ant159', 'Ant174', 'Ant332', 'Ant25', 'Ant114', 'Ant243', 'Ant245', 'Ant549', 'Ant50', 'Ant196', 'Ant191', 'Ant57', 'Ant71', 'Ant614', 'Ant30', 'Ant492', 'Ant97', 'Ant308', 'Ant387', 'Ant256', 'Ant27', 'Ant20', 'Ant334']"
Ant294,"['Ant209', 'Ant263', 'Ant318', 'Ant159', 'Ant174', 'Ant332', 'Ant25', 'Ant114', 'Ant243', 'Ant245', 'Ant549', 'Ant50', 'Ant196', 'Ant191', 'Ant57', 'Ant614', 'Ant30', 'Ant13', 'Ant97', 'Ant308', 'Ant492', 'Ant250', 'Ant256', 'Ant27', 'Ant20']"
