infectee,infectors
Ant212,['SEED']
Ant607,['Ant212']
Ant206,['Ant212']
Ant334,['Ant212']
Ant462,['Ant334']
Ant257,['Ant334']
Ant458,['Ant334']
Ant169,['Ant257']
Ant397,['Ant257']
Ant115,['Ant257']
Ant54,['Ant257']
Ant620,['Ant334']
Ant57,['Ant620']
Ant202,['Ant620']
Ant313,['Ant620']
Ant437,['Ant620']
Ant20,['Ant620']
Ant207,['Ant620']
Ant593,['Ant620']
Ant80,['Ant620']
Ant635,['Ant620']
Ant52,['Ant620']
Ant311,['Ant620']
Ant492,['Ant620']
Ant614,['Ant620']
Ant172,['Ant620']
Ant261,['Ant620']
Ant24,['Ant620']
Ant120,['Ant620']
Ant195,['Ant620']
Ant35,['Ant195']
Ant929,['Ant620']
Ant127,['Ant620']
Ant242,['Ant620']
Ant305,['Ant620']
Ant48,['Ant620']
Ant66,['Ant195']
Ant158,['Ant620']
Ant12,['Ant620']
Ant118,['Ant195']
Ant175,['Ant620']
Ant482,['Ant620']
Ant64,['Ant620']
Ant391,['Ant620']
Ant621,['Ant118']
Ant232,['Ant621']
Ant507,['Ant620']
Ant250,['Ant620']
Ant186,['Ant621']
Ant356,['Ant620']
Ant49,['Ant621']
Ant29,['Ant621']
Ant650,['Ant621']
Ant610,['Ant621']
Ant245,['Ant620']
Ant530,['Ant621']
Ant219,['Ant620']
Ant308,['Ant621']
Ant139,['Ant621']
Ant63,['Ant620']
Ant198,['Ant621']
Ant147,['Ant621']
Ant332,['Ant621']
Ant380,['Ant492']
Ant268,['Ant620']
Ant476,['Ant620']
Ant102,['Ant621']
Ant124,['Ant621']
Ant838,['Ant620']
Ant23,['Ant621']
Ant227,['Ant621']
Ant149,['Ant621']
Ant647,['Ant621']
Ant263,['Ant620']
Ant0,['Ant620']
Ant30,['Ant621']
Ant156,['Ant621']
Ant638,['Ant620']
Ant174,['Ant621']
Ant296,['Ant621']
Ant70,['Ant621']
Ant665,['Ant621']
Ant215,['Ant621']
Ant2,['Ant621']
Ant576,['Ant620']
Ant82,['Ant118']
Ant98,['Ant621']
Ant501,['Ant621']
Ant592,['Ant621']
Ant159,['Ant621']
Ant19,['Ant621']
Ant140,['Ant620']
Ant252,['Ant621']
Ant1,['Ant118']
Ant264,['Ant621']
Ant72,['Ant621']
Ant60,['Ant621']
Ant27,['Ant621']
Ant353,['Ant621']
Ant210,['Ant621']
Ant97,['Ant621']
Ant68,['Ant620']
Ant433,['Ant621']
Ant161,['Ant621']
Ant43,['Ant621']
Ant196,['Ant621']
Ant176,['Ant620']
Ant137,['Ant621']
Ant255,['Ant621']
Ant387,['Ant621']
Ant26,['Ant621']
Ant376,['Ant621']
Ant170,['Ant621']
Ant91,['Ant621']
Ant42,['Ant621']
Ant646,['Ant621']
Ant599,['Ant621']
Ant289,['Ant621']
Ant229,['Ant621']
Ant560,['Ant621']
Ant326,['Ant621']
Ant395,['Ant621']
Ant6,['Ant621']
Ant604,['Ant621']
Ant954,['Ant621']
Ant540,['Ant621']
Ant342,['Ant621']
Ant564,['Ant621']
Ant7,['Ant621']
Ant38,['Ant621']
Ant74,['Ant621']
Ant740,['Ant621']
Ant135,['Ant621']
Ant331,['Ant621']
Ant144,['Ant621']
Ant62,['Ant621']
Ant549,['Ant621']
Ant318,['Ant621']
Ant100,['Ant621']
Ant109,['Ant621']
Ant55,['Ant621']
Ant51,['Ant621']
Ant96,['Ant621']
Ant153,['Ant621']
Ant13,['Ant620']
Ant509,['Ant621']
Ant17,['Ant621']
Ant534,['Ant621']
Ant9,['Ant620']
Ant209,['Ant621']
Ant600,['Ant621']
Ant552,['Ant621']
Ant113,['Ant621']
Ant260,['Ant621']
Ant126,['Ant621']
Ant237,['Ant621']
Ant131,['Ant621']
Ant14,['Ant621']
Ant299,['Ant620']
Ant673,['Ant621']
Ant262,['Ant621']
Ant301,['Ant621']
Ant190,['Ant621']
Ant324,['Ant621']
