infectee,infectors
X20,['SEED']
X13,['X20']
X8,"['X13', 'X20']"
X67,"['X69', 'X37']"
X79,['X37']
X7,"['X8', 'X11', 'X20', 'X37']"
X35,"['X7', 'X13', 'X37']"
X47,"['X69', 'X11']"
X53,['X37']
X25,"['X20', 'X13', 'X35']"
X34,"['X7', 'X79']"
X74,"['X79', 'X34', 'X67']"
X3,"['X7', 'X8', 'X20', 'X25']"
X16,"['X7', 'X20', 'X34', 'X74']"
X51,"['X69', 'X25', 'X33', 'X11', 'X47', 'X32', 'X37']"
X9,"['X8', 'X11', 'X51']"
X68,"['X69', 'X33', 'X9', 'X47', 'X51', 'X37', 'X32']"
X48,"['X7', 'X3', 'X37', 'X51']"
X58,"['X9', 'X33', 'X51', 'X67', 'X68', 'X69']"
X72,"['X8', 'X48']"
X1,"['X7', 'X8', 'X58', 'X69']"
X61,"['X9', 'X16', 'X34', 'X37']"
X10,"['X7', 'X69', 'X20', 'X3', 'X11', 'X25', 'X32', 'X48', 'X51', 'X53', 'X67', 'X68', 'X74', 'X79']"
X54,"['X8', 'X20', 'X10', 'X37']"
X21,"['X1', 'X8', 'X9', 'X25', 'X54', 'X72']"
X41,"['X58', 'X20', 'X10', 'X33', 'X9', 'X11', 'X32', 'X34', 'X35']"
X30,"['X1', 'X7', 'X3', 'X10', 'X13', 'X20', 'X41', 'X47', 'X58']"
X64,"['X69', 'X16', 'X34', 'X61', 'X74']"
X49,"['X58', 'X10', 'X34', 'X61', 'X64', 'X67']"
X71,"['X69', 'X34', 'X49', 'X64']"
X73,"['X7', 'X37']"
X66,"['X69', 'X47', 'X67', 'X71', 'X73']"
X24,"['X1', 'X10', 'X11', 'X34', 'X37', 'X41', 'X79']"
X46,"['X24', 'X20', 'X10', 'X47', 'X64']"
X76,"['X69', 'X66', 'X10', 'X79', 'X67', 'X71']"
X17,"['X7', 'X3', 'X9', 'X11', 'X32', 'X41', 'X46', 'X61', 'X67', 'X71']"
X75,"['X3', 'X25', 'X48', 'X34']"
X18,"['X69', 'X53', 'X11', 'X32', 'X37', 'X47', 'X49', 'X51', 'X68']"
X19,"['X1', 'X7', 'X8', 'X16', 'X20', 'X24', 'X54', 'X73', 'X79']"
X50,"['X7', 'X19', 'X21', 'X24', 'X30', 'X48', 'X75', 'X37']"
X77,"['X48', 'X75', 'X49', 'X76', 'X71']"
X38,"['X30', 'X10', 'X17', 'X33', 'X53', 'X18', 'X34', 'X37']"
X60,"['X8', 'X21', 'X20', 'X17', 'X25', 'X35', 'X48']"
X57,"['X30', 'X10', 'X25', 'X18', 'X34', 'X67']"
X59,"['X8', 'X21', 'X20', 'X3', 'X48', 'X49', 'X54', 'X60']"
X70,"['X7', 'X19', 'X50', 'X51', 'X77']"
X2,"['X8', 'X19', 'X21', 'X20', 'X59', 'X60', 'X66', 'X72']"
X28,"['X7', 'X19', 'X60', 'X17', 'X25', 'X50', 'X9', 'X11', 'X18', 'X51', 'X37', 'X38', 'X68']"
X31,"['X10', 'X25', 'X48', 'X75', 'X57', 'X50', 'X16', 'X77']"
X5,"['X1', 'X7', 'X19', 'X20', 'X24', 'X50', 'X57', 'X70', 'X73', 'X79']"
X56,"['X24', 'X60', 'X41', 'X51', 'X70', 'X76', 'X79']"
X6,"['X7', 'X2', 'X9', 'X11', 'X16', 'X18', 'X41', 'X47', 'X51', 'X54', 'X57']"
X15,"['X19', 'X58', 'X6', 'X37', 'X38', 'X49', 'X61']"
X4,"['X33', 'X41', 'X53', 'X56', 'X57']"
X63,"['X24', 'X73', 'X15', 'X54', 'X46', 'X49']"
X22,"['X6', 'X20', 'X10', 'X17', 'X25', 'X48', 'X75', 'X4', 'X16', 'X18', 'X33', 'X38', 'X49', 'X51', 'X64', 'X77']"
X12,"['X60', 'X53', 'X18', 'X35', 'X37', 'X32']"
X43,"['X8', 'X6', 'X17', 'X22', 'X16', 'X18', 'X12', 'X61', 'X74']"
X65,"['X22', 'X4', 'X56', 'X13']"
X39,"['X1', 'X6', 'X9', 'X12', 'X28', 'X31', 'X43', 'X58']"
X29,"['X30', 'X58', 'X17', 'X73', 'X15', 'X68', 'X12', 'X63']"
X26,"['X19', 'X6', 'X17', 'X53', 'X50', 'X9', 'X11', 'X12', 'X28', 'X32', 'X38', 'X46', 'X47', 'X54']"
X42,"['X58', 'X6', 'X57', 'X65', 'X29']"
X36,"['X7', 'X19', 'X24', 'X30', 'X69', 'X6', 'X10', 'X75', 'X22', 'X4', 'X31', 'X34', 'X37', 'X38', 'X43', 'X53', 'X56', 'X67', 'X79']"
X40,"['X30', 'X39', 'X66', 'X25', 'X48', 'X22', 'X50', 'X26', 'X42', 'X43', 'X37', 'X68', 'X12', 'X64']"
X27,"['X22', 'X41', 'X57', 'X73', 'X9', 'X15', 'X18', 'X51', 'X34', 'X38', 'X46', 'X63']"
X44,"['X69', 'X17', 'X22', 'X9', 'X18']"
X62,"['X39', 'X58', 'X66', 'X25', 'X36', 'X41', 'X37', 'X67', 'X76', 'X40']"
X23,"['X39', 'X25', 'X33', 'X53', 'X57', 'X15', 'X26', 'X43', 'X51', 'X28', 'X27', 'X44', 'X32', 'X38', 'X40', 'X62', 'X63']"
X14,"['X8', 'X19', 'X24', 'X39', 'X2', 'X9', 'X11', 'X15', 'X18', 'X23', 'X26', 'X28', 'X29', 'X32', 'X33', 'X36', 'X38', 'X40', 'X41', 'X43', 'X51', 'X53', 'X62', 'X68']"
X55,"['X39', 'X17', 'X25', 'X57', 'X28', 'X76', 'X40', 'X23', 'X62']"
X78,"['X69', 'X14', 'X12', 'X40', 'X62']"
X45,"['X5', 'X7', 'X30', 'X6', 'X60', 'X48', 'X36', 'X41', 'X65', 'X15', 'X42', 'X51', 'X70']"
X52,"['X10', 'X73', 'X9', 'X15', 'X37', 'X23', 'X29', 'X40', 'X49', 'X62', 'X63']"
