infectee,infectors
Ant255,['SEED']
Ant149,['Ant255']
Ant6,['Ant255']
Ant650,['Ant255']
Ant176,['Ant650']
Ant65,['Ant650']
Ant243,['Ant255']
Ant19,['Ant650']
Ant342,['Ant650']
Ant599,['Ant243']
Ant308,['Ant243']
Ant172,['Ant255']
Ant54,['Ant650']
Ant632,['Ant650']
Ant509,['Ant650']
Ant954,['Ant255']
Ant256,['Ant255']
Ant13,['Ant243']
Ant32,['Ant255']
Ant131,['Ant255']
Ant20,['Ant255']
Ant26,['Ant650']
Ant137,['Ant26']
Ant610,['Ant255']
Ant102,['Ant650']
Ant298,['Ant255']
Ant175,['Ant26']
Ant51,['Ant255']
Ant394,['Ant255']
Ant81,['Ant26']
Ant215,['Ant650']
Ant96,['Ant20']
Ant12,['Ant255']
Ant198,['Ant650']
Ant207,['Ant198']
Ant220,['Ant198']
Ant278,['Ant198']
Ant76,['Ant198']
Ant534,['Ant198']
Ant15,['Ant198']
Ant229,['Ant220']
Ant538,['Ant229']
Ant50,['Ant229']
Ant105,['Ant229']
Ant458,['Ant229']
Ant244,['Ant229']
Ant492,['Ant229']
Ant191,['Ant229']
Ant331,['Ant229']
Ant296,['Ant229']
Ant118,['Ant220']
Ant395,['Ant118']
Ant518,['Ant191']
Ant397,['Ant118']
Ant60,['Ant118']
Ant1,['Ant118']
Ant194,['Ant118']
Ant0,['Ant118']
Ant324,['Ant118']
Ant48,['Ant118']
Ant97,['Ant118']
Ant7,['Ant118']
Ant564,['Ant118']
Ant59,['Ant118']
Ant299,['Ant118']
Ant2,['Ant118']
Ant238,['Ant118']
Ant576,['Ant118']
Ant52,['Ant118']
Ant301,['Ant118']
Ant621,['Ant118']
Ant124,['Ant621']
Ant289,['Ant118']
Ant43,['Ant621']
Ant127,['Ant621']
Ant111,['Ant621']
Ant663,['Ant621']
Ant53,['Ant621']
Ant74,['Ant621']
Ant560,['Ant621']
Ant638,['Ant621']
Ant334,['Ant621']
Ant115,['Ant621']
Ant169,['Ant621']
Ant206,['Ant621']
Ant186,['Ant621']
Ant221,['Ant621']
Ant178,['Ant621']
Ant30,['Ant621']
Ant252,['Ant621']
Ant109,['Ant621']
Ant126,['Ant621']
Ant35,['Ant118']
Ant57,['Ant621']
Ant380,['Ant621']
Ant44,['Ant621']
Ant242,['Ant118']
Ant62,['Ant621']
Ant23,['Ant118']
Ant251,['Ant621']
Ant391,['Ant221']
Ant347,['Ant118']
Ant556,['Ant621']
Ant580,['Ant621']
Ant592,['Ant621']
Ant501,['Ant118']
Ant68,['Ant118']
Ant70,['Ant621']
Ant476,['Ant621']
Ant604,['Ant118']
Ant482,['Ant621']
Ant210,['Ant621']
Ant158,['Ant621']
Ant219,['Ant118']
Ant4,['Ant221']
Ant72,['Ant118']
Ant112,['Ant621']
Ant190,['Ant621']
Ant71,['Ant621']
Ant607,['Ant621']
Ant159,['Ant118']
Ant390,['Ant621']
Ant38,['Ant621']
Ant17,['Ant621']
Ant196,['Ant621']
Ant475,['Ant621']
Ant27,['Ant621']
Ant264,['Ant621']
Ant740,['Ant621']
Ant117,['Ant621']
Ant398,['Ant621']
Ant227,['Ant621']
Ant540,['Ant621']
Ant673,['Ant621']
Ant245,['Ant255']
Ant614,['Ant621']
Ant260,['Ant621']
Ant9,['Ant621']
Ant329,['Ant118']
Ant218,['Ant621']
Ant250,['Ant117']
