infectee,infectors
Ant298,['SEED']
Ant334,['Ant298']
Ant356,"['Ant334', 'Ant298']"
Ant740,"['Ant334', 'Ant356', 'Ant298']"
Ant250,"['Ant740', 'Ant334', 'Ant356', 'Ant298']"
Ant97,"['Ant740', 'Ant334', 'Ant356', 'Ant298', 'Ant250']"
Ant264,"['Ant740', 'Ant334', 'Ant356', 'Ant97', 'Ant250']"
Ant332,"['Ant740', 'Ant356', 'Ant264', 'Ant97', 'Ant298']"
Ant607,"['Ant740', 'Ant356', 'Ant332', 'Ant334', 'Ant97', 'Ant298']"
Ant140,"['Ant607', 'Ant332', 'Ant334', 'Ant97', 'Ant298', 'Ant250']"
Ant71,"['Ant740', 'Ant334', 'Ant264', 'Ant356', 'Ant97', 'Ant298', 'Ant250']"
Ant564,"['Ant607', 'Ant740', 'Ant334', 'Ant264', 'Ant71', 'Ant356', 'Ant97', 'Ant298', 'Ant250', 'Ant140']"
Ant299,"['Ant607', 'Ant740', 'Ant332', 'Ant334', 'Ant264', 'Ant564', 'Ant71', 'Ant356', 'Ant97', 'Ant298', 'Ant250', 'Ant140']"
Ant530,"['Ant607', 'Ant299', 'Ant740', 'Ant332', 'Ant334', 'Ant264', 'Ant564', 'Ant71', 'Ant356', 'Ant140', 'Ant298', 'Ant250', 'Ant97']"
Ant256,"['Ant264', 'Ant71', 'Ant356', 'Ant140', 'Ant298', 'Ant250', 'Ant530', 'Ant97']"
Ant646,"['Ant607', 'Ant299', 'Ant740', 'Ant332', 'Ant334', 'Ant264', 'Ant564', 'Ant71', 'Ant356', 'Ant97', 'Ant530', 'Ant298', 'Ant250', 'Ant256']"
Ant153,"['Ant607', 'Ant299', 'Ant334', 'Ant264', 'Ant646', 'Ant564', 'Ant71', 'Ant356', 'Ant97', 'Ant298', 'Ant250', 'Ant140', 'Ant530']"
Ant62,"['Ant607', 'Ant299', 'Ant153', 'Ant332', 'Ant334', 'Ant264', 'Ant646', 'Ant564', 'Ant71', 'Ant356', 'Ant140', 'Ant298', 'Ant97', 'Ant530']"
Ant252,"['Ant607', 'Ant299', 'Ant740', 'Ant153', 'Ant334', 'Ant264', 'Ant646', 'Ant564', 'Ant71', 'Ant356', 'Ant140', 'Ant298', 'Ant97', 'Ant250', 'Ant256', 'Ant530']"
Ant217,"['Ant299', 'Ant740', 'Ant153', 'Ant332', 'Ant334', 'Ant264', 'Ant646', 'Ant564', 'Ant71', 'Ant140', 'Ant298', 'Ant530', 'Ant97', 'Ant252', 'Ant250', 'Ant256', 'Ant62']"
Ant96,"['Ant607', 'Ant299', 'Ant740', 'Ant153', 'Ant332', 'Ant334', 'Ant264', 'Ant564', 'Ant71', 'Ant356', 'Ant140', 'Ant530', 'Ant298', 'Ant217', 'Ant252', 'Ant250', 'Ant256', 'Ant62']"
Ant120,"['Ant607', 'Ant299', 'Ant740', 'Ant153', 'Ant332', 'Ant334', 'Ant264', 'Ant646', 'Ant564', 'Ant71', 'Ant356', 'Ant140', 'Ant96', 'Ant298', 'Ant217', 'Ant252', 'Ant250', 'Ant256', 'Ant97', 'Ant530', 'Ant62']"
Ant32,"['Ant607', 'Ant299', 'Ant740', 'Ant153', 'Ant332', 'Ant264', 'Ant646', 'Ant71', 'Ant97', 'Ant96', 'Ant298', 'Ant217', 'Ant356', 'Ant252', 'Ant250', 'Ant256', 'Ant140', 'Ant530', 'Ant120', 'Ant62']"
Ant19,"['Ant299', 'Ant740', 'Ant153', 'Ant332', 'Ant334', 'Ant264', 'Ant646', 'Ant564', 'Ant97', 'Ant530', 'Ant298', 'Ant217', 'Ant252', 'Ant250', 'Ant256', 'Ant120']"
Ant540,"['Ant607', 'Ant299', 'Ant740', 'Ant153', 'Ant332', 'Ant334', 'Ant264', 'Ant646', 'Ant564', 'Ant530', 'Ant71', 'Ant356', 'Ant19', 'Ant32', 'Ant97', 'Ant96', 'Ant298', 'Ant217', 'Ant252', 'Ant256', 'Ant140', 'Ant120', 'Ant62']"
Ant237,"['Ant607', 'Ant299', 'Ant740', 'Ant153', 'Ant332', 'Ant334', 'Ant264', 'Ant646', 'Ant564', 'Ant71', 'Ant356', 'Ant19', 'Ant140', 'Ant96', 'Ant298', 'Ant217', 'Ant97', 'Ant252', 'Ant250', 'Ant530', 'Ant62']"
Ant1,"['Ant607', 'Ant299', 'Ant740', 'Ant332', 'Ant540', 'Ant356', 'Ant32', 'Ant97', 'Ant96', 'Ant298', 'Ant237', 'Ant120', 'Ant250', 'Ant256', 'Ant140', 'Ant530', 'Ant62']"
Ant475,"['Ant607', 'Ant299', 'Ant740', 'Ant153', 'Ant332', 'Ant334', 'Ant264', 'Ant646', 'Ant564', 'Ant540', 'Ant32', 'Ant71', 'Ant356', 'Ant19', 'Ant140', 'Ant96', 'Ant298', 'Ant217', 'Ant97', 'Ant237', 'Ant252', 'Ant250', 'Ant256', 'Ant530', 'Ant120', 'Ant62']"
Ant59,"['Ant607', 'Ant299', 'Ant740', 'Ant153', 'Ant332', 'Ant334', 'Ant264', 'Ant646', 'Ant564', 'Ant540', 'Ant1', 'Ant32', 'Ant71', 'Ant356', 'Ant19', 'Ant97', 'Ant96', 'Ant298', 'Ant217', 'Ant475', 'Ant237', 'Ant252', 'Ant250', 'Ant256', 'Ant140', 'Ant530', 'Ant120', 'Ant62']"
Ant391,"['Ant607', 'Ant299', 'Ant740', 'Ant153', 'Ant334', 'Ant264', 'Ant646', 'Ant530', 'Ant564', 'Ant540', 'Ant1', 'Ant59', 'Ant71', 'Ant356', 'Ant19', 'Ant32', 'Ant97', 'Ant96', 'Ant298', 'Ant217', 'Ant475', 'Ant237', 'Ant252', 'Ant250', 'Ant120', 'Ant62']"
Ant311,"['Ant299', 'Ant740', 'Ant153', 'Ant332', 'Ant334', 'Ant264', 'Ant646', 'Ant391', 'Ant564', 'Ant540', 'Ant1', 'Ant59', 'Ant71', 'Ant356', 'Ant19', 'Ant32', 'Ant97', 'Ant96', 'Ant217', 'Ant475', 'Ant237', 'Ant252', 'Ant140', 'Ant530', 'Ant120']"
Ant320,"['Ant607', 'Ant299', 'Ant153', 'Ant332', 'Ant264', 'Ant311', 'Ant1', 'Ant32', 'Ant59', 'Ant356', 'Ant140', 'Ant96', 'Ant298', 'Ant217', 'Ant475', 'Ant256', 'Ant97', 'Ant530', 'Ant120', 'Ant62']"
