infectee,infectors
Ant592,['SEED']
Ant144,['Ant592']
Ant62,['Ant144']
Ant564,['Ant144']
Ant638,['Ant564']
Ant137,['Ant144']
Ant14,['Ant137']
Ant237,['Ant137']
Ant43,['Ant564']
Ant342,['Ant137']
Ant593,['Ant137']
Ant26,['Ant137']
Ant91,['Ant26']
Ant607,['Ant26']
Ant296,['Ant26']
Ant114,['Ant26']
Ant268,['Ant607']
Ant2,['Ant114']
Ant40,['Ant26']
Ant502,['Ant114']
Ant76,['Ant114']
Ant552,['Ant114']
Ant0,['Ant114']
Ant215,['Ant114']
Ant289,['Ant114']
Ant560,['Ant114']
Ant172,['Ant114']
Ant313,['Ant114']
Ant210,['Ant114']
Ant140,['Ant114']
Ant332,['Ant552']
Ant458,['Ant114']
Ant212,['Ant502']
Ant102,['Ant114']
Ant632,['Ant502']
Ant256,['Ant114']
Ant60,['Ant114']
Ant621,['Ant114']
Ant20,['Ant621']
Ant68,['Ant621']
Ant52,['Ant621']
Ant599,['Ant621']
Ant507,['Ant621']
Ant191,['Ant621']
Ant324,['Ant621']
Ant518,['Ant621']
Ant252,['Ant621']
Ant650,['Ant621']
Ant527,['Ant621']
Ant398,['Ant621']
Ant7,['Ant621']
Ant220,['Ant621']
Ant19,['Ant621']
Ant206,['Ant621']
Ant329,['Ant621']
Ant65,['Ant114']
Ant433,['Ant621']
Ant142,['Ant621']
Ant112,['Ant621']
Ant12,['Ant191']
Ant178,['Ant621']
Ant209,['Ant621']
Ant305,['Ant621']
Ant109,['Ant621']
Ant219,['Ant621']
Ant243,['Ant621']
Ant100,['Ant621']
Ant50,['Ant621']
Ant174,['Ant621']
Ant395,['Ant621']
Ant260,['Ant621']
Ant30,['Ant621']
Ant55,['Ant621']
Ant556,['Ant621']
Ant356,['Ant621']
Ant232,['Ant621']
Ant44,['Ant621']
Ant294,['Ant191']
Ant96,['Ant621']
Ant604,['Ant621']
Ant244,['Ant621']
Ant400,['Ant621']
Ant509,['Ant621']
Ant32,['Ant621']
Ant318,['Ant621']
Ant169,['Ant621']
Ant492,['Ant621']
Ant195,['Ant621']
Ant147,['Ant621']
Ant673,['Ant621']
Ant6,['Ant621']
Ant311,['Ant621']
Ant105,['Ant621']
Ant80,['Ant621']
Ant170,['Ant621']
Ant35,['Ant621']
Ant126,['Ant621']
Ant264,['Ant621']
Ant301,['Ant621']
Ant38,['Ant621']
Ant257,['Ant621']
Ant158,['Ant621']
Ant227,['Ant621']
Ant97,['Ant621']
Ant278,['Ant621']
Ant265,['Ant621']
Ant647,['Ant621']
Ant63,['Ant621']
Ant540,['Ant215']
Ant207,['Ant621']
Ant437,['Ant621']
Ant575,['Ant114']
Ant99,['Ant621']
Ant5,['Ant621']
Ant148,['Ant621']
Ant202,['Ant540']
Ant98,['Ant621']
Ant217,['Ant621']
Ant176,['Ant540']
Ant298,['Ant621']
Ant72,['Ant621']
Ant665,['Ant509']
Ant161,['Ant621']
Ant476,['Ant621']
Ant299,['Ant621']
Ant635,['Ant621']
Ant394,['Ant621']
Ant262,['Ant621']
Ant15,['Ant621']
Ant580,['Ant621']
Ant610,['Ant227']
