infectee,infectors
Ant170,['SEED']
Ant49,['Ant170']
Ant476,"['Ant170', 'Ant49']"
Ant305,"['Ant170', 'Ant476', 'Ant49']"
Ant191,"['Ant305', 'Ant476']"
Ant176,"['Ant170', 'Ant476', 'Ant49']"
Ant502,"['Ant170', 'Ant176', 'Ant49']"
Ant227,"['Ant170', 'Ant176', 'Ant502', 'Ant191', 'Ant305', 'Ant476', 'Ant49']"
Ant148,"['Ant170', 'Ant176', 'Ant305', 'Ant476']"
Ant593,"['Ant170', 'Ant176', 'Ant227', 'Ant502', 'Ant305', 'Ant148', 'Ant476', 'Ant49']"
Ant24,"['Ant170', 'Ant227', 'Ant502', 'Ant49']"
Ant252,"['Ant170', 'Ant176', 'Ant227', 'Ant593', 'Ant502', 'Ant305', 'Ant148', 'Ant24', 'Ant49']"
Ant97,"['Ant170', 'Ant176', 'Ant227', 'Ant593', 'Ant305', 'Ant148', 'Ant476', 'Ant252']"
Ant638,"['Ant176', 'Ant227', 'Ant593', 'Ant97', 'Ant305', 'Ant148', 'Ant476']"
Ant299,"['Ant170', 'Ant176', 'Ant227', 'Ant593', 'Ant502', 'Ant305', 'Ant148', 'Ant252', 'Ant24', 'Ant49']"
Ant264,"['Ant170', 'Ant176', 'Ant227', 'Ant593', 'Ant502', 'Ant97', 'Ant299', 'Ant305', 'Ant252', 'Ant24', 'Ant49']"
Ant954,"['Ant264', 'Ant170', 'Ant176', 'Ant502', 'Ant593', 'Ant638', 'Ant97', 'Ant299', 'Ant305', 'Ant476', 'Ant252', 'Ant24', 'Ant49']"
Ant263,"['Ant954', 'Ant264', 'Ant170', 'Ant176', 'Ant502', 'Ant593', 'Ant638', 'Ant97', 'Ant299', 'Ant148', 'Ant252', 'Ant24', 'Ant49']"
Ant117,"['Ant954', 'Ant263', 'Ant264', 'Ant170', 'Ant176', 'Ant227', 'Ant593', 'Ant638', 'Ant502', 'Ant97', 'Ant299', 'Ant305', 'Ant476', 'Ant252', 'Ant24', 'Ant49']"
Ant44,"['Ant954', 'Ant263', 'Ant264', 'Ant170', 'Ant176', 'Ant227', 'Ant117', 'Ant593', 'Ant638', 'Ant502', 'Ant97', 'Ant299', 'Ant148', 'Ant476', 'Ant252', 'Ant24', 'Ant49']"
Ant27,"['Ant954', 'Ant263', 'Ant264', 'Ant170', 'Ant176', 'Ant227', 'Ant117', 'Ant593', 'Ant502', 'Ant299', 'Ant305', 'Ant252', 'Ant24', 'Ant44', 'Ant49']"
Ant475,"['Ant954', 'Ant263', 'Ant264', 'Ant170', 'Ant176', 'Ant227', 'Ant117', 'Ant593', 'Ant638', 'Ant502', 'Ant97', 'Ant299', 'Ant305', 'Ant148', 'Ant476', 'Ant252', 'Ant24', 'Ant27', 'Ant44', 'Ant49']"
Ant6,"['Ant954', 'Ant263', 'Ant264', 'Ant170', 'Ant176', 'Ant227', 'Ant117', 'Ant593', 'Ant638', 'Ant97', 'Ant299', 'Ant305', 'Ant476', 'Ant475', 'Ant252', 'Ant24', 'Ant27', 'Ant44', 'Ant49']"
Ant592,"['Ant6', 'Ant954', 'Ant263', 'Ant264', 'Ant170', 'Ant176', 'Ant227', 'Ant117', 'Ant593', 'Ant638', 'Ant97', 'Ant299', 'Ant305', 'Ant475', 'Ant252', 'Ant24', 'Ant27', 'Ant44']"
Ant262,"['Ant6', 'Ant954', 'Ant264', 'Ant170', 'Ant176', 'Ant227', 'Ant117', 'Ant593', 'Ant592', 'Ant638', 'Ant502', 'Ant97', 'Ant299', 'Ant305', 'Ant476', 'Ant475', 'Ant252', 'Ant24', 'Ant27', 'Ant44']"
