infectee,infectors
1M1MM,['SEED']
1F0F,['1M1MM']
9F,['1M1MM']
3F,['1M1MM']
6M,['8F']
1M0M,"['8F', '9F']"
9M,"['8F', '9F', '1F0F']"
1F1FF,"['9M', '1M0M']"
8M,"['1F1FF', '3F', '8F', '9F']"
2F,"['8M', '1M0M', '1M1MM']"
7F,"['8M', '9M']"
2M,"['2F', '1F1FF']"
1F,"['2M', '8M', '1M0M', '1M1MM']"
1M,['1F']
7M,"['1F', '1F1FF', '3F', '7F']"
6F,"['6M', '7M', '8M', '9M']"
4F,"['2M', '7M', '8M']"
1F2FF,"['2M', '8M', '9M', '1M1MM']"
5M,"['6F', '7F']"
3M,"['2F', '1F1FF', '1F2FF', '4F', '6F', '3F']"
4M,"['4F', '6F']"
5F,"['3M', '5M']"
