infectee,infectors
Ant954,['SEED']
Ant264,['Ant954']
Ant391,"['Ant954', 'Ant264']"
Ant2,"['Ant954', 'Ant264', 'Ant391']"
Ant475,"['Ant954', 'Ant264', 'Ant391', 'Ant2']"
Ant638,"['Ant954', 'Ant264', 'Ant2', 'Ant475']"
Ant148,"['Ant2', 'Ant638', 'Ant475']"
Ant263,"['Ant954', 'Ant264', 'Ant391', 'Ant2', 'Ant638', 'Ant148', 'Ant475']"
Ant97,"['Ant954', 'Ant263', 'Ant264', 'Ant2', 'Ant638', 'Ant148', 'Ant475']"
Ant476,"['Ant263', 'Ant391', 'Ant2', 'Ant638', 'Ant97', 'Ant148', 'Ant475']"
Ant117,"['Ant954', 'Ant263', 'Ant264', 'Ant391', 'Ant2', 'Ant638', 'Ant97', 'Ant148', 'Ant476', 'Ant475']"
Ant599,"['Ant954', 'Ant263', 'Ant264', 'Ant391', 'Ant117', 'Ant2', 'Ant638', 'Ant97', 'Ant148', 'Ant476', 'Ant475']"
Ant27,"['Ant954', 'Ant263', 'Ant264', 'Ant391', 'Ant117', 'Ant2', 'Ant599', 'Ant97', 'Ant148', 'Ant476', 'Ant475']"
Ant6,"['Ant954', 'Ant263', 'Ant264', 'Ant391', 'Ant117', 'Ant2', 'Ant638', 'Ant599', 'Ant97', 'Ant148', 'Ant476', 'Ant475', 'Ant27']"
Ant262,"['Ant6', 'Ant954', 'Ant263', 'Ant264', 'Ant391', 'Ant117', 'Ant2', 'Ant638', 'Ant599', 'Ant97', 'Ant148', 'Ant476', 'Ant475', 'Ant27']"
Ant650,"['Ant6', 'Ant954', 'Ant263', 'Ant262', 'Ant264', 'Ant391', 'Ant117', 'Ant2', 'Ant638', 'Ant599', 'Ant97', 'Ant148', 'Ant476', 'Ant475', 'Ant27']"
Ant51,"['Ant6', 'Ant954', 'Ant263', 'Ant262', 'Ant264', 'Ant391', 'Ant117', 'Ant2', 'Ant638', 'Ant599', 'Ant97', 'Ant148', 'Ant650', 'Ant476', 'Ant475']"
Ant24,"['Ant6', 'Ant954', 'Ant263', 'Ant262', 'Ant264', 'Ant391', 'Ant117', 'Ant2', 'Ant51', 'Ant638', 'Ant599', 'Ant97', 'Ant148', 'Ant650', 'Ant475', 'Ant27']"
Ant593,"['Ant6', 'Ant954', 'Ant263', 'Ant262', 'Ant264', 'Ant391', 'Ant117', 'Ant2', 'Ant51', 'Ant638', 'Ant599', 'Ant97', 'Ant650', 'Ant476', 'Ant475', 'Ant24', 'Ant27']"
Ant49,"['Ant6', 'Ant954', 'Ant263', 'Ant262', 'Ant264', 'Ant391', 'Ant117', 'Ant2', 'Ant51', 'Ant593', 'Ant638', 'Ant599', 'Ant97', 'Ant476', 'Ant475', 'Ant24', 'Ant27']"
Ant305,"['Ant391', 'Ant117', 'Ant2', 'Ant593', 'Ant638', 'Ant599', 'Ant27', 'Ant650']"
Ant191,"['Ant6', 'Ant117', 'Ant51', 'Ant593', 'Ant638', 'Ant97', 'Ant27', 'Ant599', 'Ant305', 'Ant49', 'Ant475']"
Ant73,"['Ant6', 'Ant954', 'Ant263', 'Ant262', 'Ant264', 'Ant391', 'Ant117', 'Ant2', 'Ant51', 'Ant593', 'Ant638', 'Ant599', 'Ant97', 'Ant650', 'Ant476', 'Ant475', 'Ant24', 'Ant27', 'Ant49']"
Ant44,"['Ant6', 'Ant954', 'Ant263', 'Ant262', 'Ant264', 'Ant391', 'Ant117', 'Ant2', 'Ant73', 'Ant475', 'Ant24', 'Ant27', 'Ant49']"
Ant356,"['Ant6', 'Ant954', 'Ant263', 'Ant262', 'Ant264', 'Ant391', 'Ant117', 'Ant2', 'Ant51', 'Ant191', 'Ant73', 'Ant593', 'Ant638', 'Ant599', 'Ant97', 'Ant305', 'Ant650', 'Ant475', 'Ant24', 'Ant27', 'Ant49']"
Ant170,"['Ant6', 'Ant954', 'Ant263', 'Ant264', 'Ant356', 'Ant391', 'Ant117', 'Ant2', 'Ant51', 'Ant191', 'Ant73', 'Ant593', 'Ant599', 'Ant97', 'Ant305', 'Ant148', 'Ant476', 'Ant475', 'Ant24', 'Ant27', 'Ant44', 'Ant49']"
Ant299,"['Ant6', 'Ant954', 'Ant263', 'Ant262', 'Ant264', 'Ant170', 'Ant391', 'Ant117', 'Ant2', 'Ant51', 'Ant73', 'Ant593', 'Ant599', 'Ant97', 'Ant305', 'Ant148', 'Ant476', 'Ant475', 'Ant356', 'Ant24', 'Ant27', 'Ant44', 'Ant49']"
Ant176,"['Ant6', 'Ant954', 'Ant263', 'Ant262', 'Ant264', 'Ant170', 'Ant117', 'Ant2', 'Ant51', 'Ant191', 'Ant73', 'Ant593', 'Ant638', 'Ant599', 'Ant97', 'Ant299', 'Ant305', 'Ant148', 'Ant650', 'Ant476', 'Ant475', 'Ant356', 'Ant24', 'Ant27', 'Ant44', 'Ant49']"
Ant256,"['Ant6', 'Ant954', 'Ant263', 'Ant262', 'Ant264', 'Ant170', 'Ant176', 'Ant391', 'Ant117', 'Ant51', 'Ant191', 'Ant73', 'Ant593', 'Ant638', 'Ant97', 'Ant299', 'Ant305', 'Ant148', 'Ant650', 'Ant476', 'Ant475', 'Ant356', 'Ant24', 'Ant27', 'Ant49']"
Ant25,"['Ant6', 'Ant954', 'Ant263', 'Ant262', 'Ant264', 'Ant170', 'Ant176', 'Ant391', 'Ant117', 'Ant2', 'Ant51', 'Ant191', 'Ant73', 'Ant593', 'Ant638', 'Ant599', 'Ant97', 'Ant299', 'Ant148', 'Ant650', 'Ant476', 'Ant475', 'Ant356', 'Ant256', 'Ant24', 'Ant27', 'Ant44', 'Ant49']"
Ant227,"['Ant6', 'Ant170', 'Ant176', 'Ant391', 'Ant51', 'Ant638', 'Ant356', 'Ant599', 'Ant256', 'Ant593', 'Ant2', 'Ant24', 'Ant25', 'Ant97', 'Ant27', 'Ant191', 'Ant299', 'Ant305', 'Ant73']"
Ant502,"['Ant6', 'Ant954', 'Ant263', 'Ant262', 'Ant264', 'Ant170', 'Ant176', 'Ant391', 'Ant227', 'Ant117', 'Ant73', 'Ant593', 'Ant299', 'Ant356', 'Ant24', 'Ant44', 'Ant49', 'Ant475']"
Ant252,"['Ant954', 'Ant263', 'Ant262', 'Ant264', 'Ant170', 'Ant176', 'Ant391', 'Ant227', 'Ant117', 'Ant2', 'Ant51', 'Ant191', 'Ant73', 'Ant593', 'Ant638', 'Ant599', 'Ant502', 'Ant299', 'Ant148', 'Ant650', 'Ant475', 'Ant256', 'Ant24', 'Ant25', 'Ant27', 'Ant44', 'Ant49']"
Ant242,"['Ant6', 'Ant954', 'Ant263', 'Ant262', 'Ant264', 'Ant170', 'Ant176', 'Ant391', 'Ant117', 'Ant356', 'Ant502', 'Ant2', 'Ant51', 'Ant73', 'Ant593', 'Ant638', 'Ant599', 'Ant299', 'Ant476', 'Ant475', 'Ant252', 'Ant256', 'Ant24', 'Ant25', 'Ant27', 'Ant49']"
Ant592,"['Ant6', 'Ant954', 'Ant263', 'Ant264', 'Ant170', 'Ant176', 'Ant391', 'Ant117', 'Ant242', 'Ant2', 'Ant51', 'Ant191', 'Ant73', 'Ant593', 'Ant356', 'Ant502', 'Ant638', 'Ant599', 'Ant299', 'Ant650', 'Ant476', 'Ant475', 'Ant252', 'Ant256', 'Ant24', 'Ant25', 'Ant27', 'Ant44', 'Ant49']"
