infectee,infectors
096379298,['SEED']
095573275,['096379298']
095571773,['095573275']
096356084,['095571773']
096543360,['095571773']
096556579,['096543360']
079600620,['096543360']
096380062,['096543360']
079584622,['096356084']
095586262,['096543360']
095594887,['079584622']
096364294,['079584622']
096520306,['095594887']
079768283,['079584622']
095594579,['079768283']
095595301,['095594579']
096516560,['095594579']
096512301,['095595301']
096527537,['095595301']
095594096,['096356084']
079617066,['096516560']
079623299,['079584622']
095582841,['096520306']
095583040,['095594579']
096538589,['095573275']
096520628,['095582841']
095593261,['096520628']
095566620,['079584622']
079589786,['096520628']
096368318,['095582841']
096546609,['095582841']
079586105,['095593261']
079621352,['079586105']
095594360,['079621352']
095574296,['079621352']
079636775,['095566620']
096383301,['096520306']
