infectee,infectors
R601,['SEED']
R247_R539_L433,['R601']
R627,['R601']
R440,['R601']
R476_R580,['R601']
R683,['R476_R580']
R600,['R476_R580']
R557,['R600']
R297,['R557']
R607,['R557']
R075_L114_L277,['R557']
R570,['R683']
R584,['R570']
R391,['R570']
R526,['R570']
R599,['R570']
R080_L289,['R570']
R305,['R570']
R561,['R305']
R446,['R570']
R486_R650,['R570']
R630,['R486_R650']
R572,['R570']
R626,['R305']
R648,['R626']
R484,['R626']
R150_L230,['R305']
R685,['R626']
R563,['R626']
R523,['R626']
R444,['R626']
R296,['R305']
R556,['R305']
R611,['R556']
R646,['R296']
R631,['R601']
R306,['R556']
R377,['R556']
R309,['R556']
R632,['R556']
R587,['R556']
R475,['R556']
R176_L222,['R556']
R591,['R556']
R617,['R556']
R613,['R626']
R456,['R150_L230']
R664,['R556']
R677,['R556']
R592,['R556']
R605,['R556']
R588,['R556']
R459_R553,['R556']
R566,['R556']
R320,['R626']
R693,['R556']
R213_L226,['R556']
R463,['R556']
R678,['R556']
R606,['R556']
R462_R577,['R475']
