infectee,infectors
Ant400,['SEED']
Ant115,['Ant400']
Ant215,['Ant400']
Ant593,['Ant115']
Ant42,['Ant115']
Ant482,['Ant593']
Ant178,['Ant482']
Ant219,['Ant482']
Ant0,['Ant482']
Ant156,['Ant482']
Ant242,['Ant482']
Ant29,['Ant482']
Ant117,['Ant482']
Ant614,['Ant482']
Ant64,['Ant482']
Ant176,['Ant482']
Ant347,['Ant178']
Ant4,['Ant482']
Ant501,['Ant482']
Ant60,['Ant178']
Ant97,['Ant482']
Ant564,['Ant482']
Ant127,['Ant482']
Ant32,['Ant176']
Ant23,['Ant482']
Ant173,['Ant482']
Ant387,['Ant482']
Ant76,['Ant176']
Ant26,['Ant482']
Ant218,['Ant482']
Ant268,['Ant482']
Ant394,['Ant482']
Ant518,['Ant482']
Ant190,['Ant482']
Ant139,['Ant482']
Ant63,['Ant482']
Ant207,['Ant482']
Ant109,['Ant482']
Ant380,['Ant482']
Ant55,['Ant178']
Ant202,['Ant482']
Ant560,['Ant482']
Ant38,['Ant482']
Ant19,['Ant482']
Ant356,['Ant482']
Ant294,['Ant176']
Ant255,['Ant115']
Ant191,['Ant482']
Ant538,['Ant482']
Ant540,['Ant482']
Ant621,['Ant482']
Ant44,['Ant482']
Ant390,['Ant356']
Ant243,['Ant501']
Ant153,['Ant243']
