infectee,infectors
079625113,['SEED']
079569030,['079625113']
079788875,['079625113']
079588773,['079788875']
079617289,['079569030']
079786578,['079617289']
079555292,['079786578']
079572030,['079555292']
073033842,['079555292']
096380029,['079786578']
079574011,['079555292']
079598286,['096380029']
072890852,['079555292']
096529329,['079555292']
079618581,['079786578']
079779264,['072890852']
079603364,['079598286']
079579583,['079598286']
079569091,['079598286']
079602577,['079598286']
079787000,['079625113']
079784565,['079603364']
096370002,['096380029']
096354787,['079555292']
079563823,['073033842']
073042617,['096370002']
079624357,['096370002']
079569373,['096380029']
079620331,['079555292']
079601104,['073042617']
072837348,['073042617']
079630775,['073042617']
072629257,['079784565']
096380547,['072837348']
079609550,['073042617']
079593771,['073042617']
079616027,['079602577']
079580369,['079624357']
079563056,['096380029']
096543337,['079630775']
073068539,['072837348']
072875539,['096354787']
073108884,['096543337']
079575007,['079630775']
079558548,['096543337']
079573044,['079580369']
067064870,['072837348']
079576604,['073108884']
072626077,['096380029']
096537350,['072629257']
079796297,['073108884']
073111827,['079575007']
096525010,['073108884']
096376625,['079796297']
096379326,['067064870']
073041621,['096537350']
079562259,['079575007']
079573889,['079796297']
096362369,['096543337']
072776818,['096376625']
079802049,['079787000']
079788842,['079598286']
079572054,['079576604']
096555263,['096543337']
073044330,['079573889']
079578523,['096376625']
079629031,['073108884']
079801290,['079576604']
079597862,['079576604']
096378003,['079555292']
073065094,['079598286']
067856079,['073108884']
079782300,['079575007']
079579030,['096379326']
079635797,['096379326']
072883861,['073041621']
079631275,['073108884']
079777002,['079579030']
073060117,['079579030']
079589830,['096543337']
079800518,['079555292']
079595283,['072883861']
079789585,['072837348']
096531381,['079572054']
079776582,['073041621']
079787035,['096537350']
079563016,['079777002']
079791312,['079788842']
079803101,['079579030']
072801068,['096537350']
079572031,['072801068']
079566056,['079572031']
079775339,['079787035']
