infectee,infectors
Ant14,['SEED']
Ant2,['Ant14']
Ant109,['Ant2']
Ant308,"['Ant2', 'Ant14']"
Ant9,"['Ant308', 'Ant109']"
Ant126,"['Ant2', 'Ant14', 'Ant308', 'Ant109']"
Ant137,"['Ant126', 'Ant308', 'Ant9', 'Ant2', 'Ant14', 'Ant109']"
Ant131,"['Ant126', 'Ant137', 'Ant308', 'Ant9', 'Ant2', 'Ant14', 'Ant109']"
Ant647,"['Ant137', 'Ant2', 'Ant14', 'Ant308', 'Ant169']"
Ant207,"['Ant126', 'Ant137', 'Ant131', 'Ant647', 'Ant308', 'Ant2', 'Ant14', 'Ant109']"
Ant257,"['Ant131', 'Ant137', 'Ant647', 'Ant2', 'Ant169']"
Ant458,"['Ant126', 'Ant137', 'Ant131', 'Ant308', 'Ant9', 'Ant2', 'Ant14', 'Ant169', 'Ant207', 'Ant109']"
Ant215,"['Ant137', 'Ant131', 'Ant308', 'Ant9', 'Ant2', 'Ant14', 'Ant458', 'Ant109']"
Ant509,"['Ant257', 'Ant126', 'Ant137', 'Ant131', 'Ant647', 'Ant9', 'Ant2', 'Ant215', 'Ant458', 'Ant207', 'Ant109']"
Ant242,"['Ant131', 'Ant308', 'Ant9', 'Ant509', 'Ant207']"
Ant156,"['Ant137', 'Ant131', 'Ant242', 'Ant308', 'Ant9', 'Ant509', 'Ant2', 'Ant14', 'Ant215', 'Ant458', 'Ant207', 'Ant109']"
Ant620,"['Ant257', 'Ant156', 'Ant131', 'Ant242', 'Ant308', 'Ant9', 'Ant509', 'Ant2', 'Ant14', 'Ant137', 'Ant215', 'Ant458', 'Ant207', 'Ant109']"
Ant1,"['Ant257', 'Ant126', 'Ant131', 'Ant647', 'Ant242', 'Ant308', 'Ant156', 'Ant2', 'Ant14', 'Ant169', 'Ant215', 'Ant207']"
Ant604,"['Ant620', 'Ant126', 'Ant137', 'Ant131', 'Ant647', 'Ant242', 'Ant9', 'Ant156', 'Ant509', 'Ant2', 'Ant14', 'Ant458', 'Ant207', 'Ant109']"
Ant49,"['Ant257', 'Ant126', 'Ant647', 'Ant308', 'Ant156', 'Ant509', 'Ant1', 'Ant2', 'Ant14', 'Ant169', 'Ant215', 'Ant458', 'Ant207']"
