infectee,infectors
056280872,['SEED']
053619831,['056280872']
053006884,['056280872']
055515114,['056280872']
047070316,['053619831']
055522628,['047070316']
055892635,['055522628']
056284031,['055892635']
056018123,['056284031']
053002059,['056280872']
056003024,['056280872']
053769315,['053002059']
055536056,['056018123']
056377801,['053006884']
053295566,['053619831']
053262854,['047070316']
053321530,['053002059']
052610097,['055515114']
055567108,['055515114']
052870808,['053002059']
056075544,['056284031']
053769632,['053321530']
056075539,['055515114']
053583368,['053002059']
056279794,['053262854']
055516529,['053002059']
056372287,['056280872']
053836349,['055567108']
052811350,['053836349']
056016039,['052811350']
056371613,['055536056']
056011514,['053836349']
055802635,['053262854']
055562778,['047070316']
055815374,['056075544']
056002571,['055562778']
055814593,['053321530']
056014352,['056003024']
052599012,['055815374']
056280347,['055536056']
047065092,['055562778']
056033847,['055536056']
055889028,['047070316']
052894866,['053002059']
052605521,['055815374']
043867886,['056018123']
052524052,['055567108']
053632353,['053836349']
047017029,['055562778']
052877054,['056011514']
055536814,['055562778']
053262316,['055889028']
056001809,['055536814']
052869000,['053262316']
056294818,['053002059']
055542071,['055536056']
056012337,['055562778']
055514338,['053262854']
052549342,['047065092']
047084094,['056075544']
056294378,['055536056']
055819349,['053295566']
056278278,['056294818']
056016338,['043867886']
053823309,['056294818']
055520820,['052869000']
056003124,['053836349']
053624110,['055542071']
047047808,['053262316']
052772812,['056294378']
056294284,['055889028']
053773632,['052772812']
056294578,['053262316']
053264846,['053262854']
053516266,['055562778']
055560378,['052869000']
052583628,['056001809']
052779638,['055542071']
055890813,['053836349']
052623058,['055814593']
056301285,['052811350']
052835065,['053823309']
053040593,['055542071']
047010771,['056301285']
056371589,['047047808']
053080856,['056280872']
055523871,['056294818']
053076614,['052869000']
056282823,['047084094']
047080377,['052835065']
047087846,['053002059']
056027855,['052772812']
056000590,['053773632']
056009119,['052772812']
055889873,['047010771']
055542119,['052772812']
056304335,['055520820']
055542091,['043867886']
053318015,['052772812']
053320359,['047010771']
055889126,['047047808']
055892553,['055542091']
056288293,['043867886']
055546381,['056294818']
053620780,['055520820']
052800314,['052772812']
056006892,['052835065']
053851543,['053620780']
056045636,['056294578']
053308797,['056288293']
052824810,['053318015']
053033070,['043867886']
055529527,['053308797']
053637823,['053620780']
052617798,['053308797']
056053289,['056016338']
055524051,['053773632']
055809323,['056288293']
055515125,['047010771']
055800839,['055524051']
055528043,['047010771']
055517030,['053002059']
055889375,['055809323']
