infectee,infectors
082331553,['SEED']
096377275,['082331553']
095565572,['096377275']
095565880,['096377275']
092620042,['095565880']
095594099,['092620042']
092337823,['092620042']
095596047,['096377275']
095581263,['096377275']
095566584,['095581263']
095581309,['095581263']
096381579,['095566584']
082343064,['096381579']
095595353,['082343064']
095593555,['096377275']
095595349,['095595353']
095566516,['095566584']
096368800,['095566584']
092556345,['096368800']
079801313,['096381579']
096536081,['095595349']
095577084,['096536081']
092629576,['096536081']
095594829,['095566516']
096535856,['096381579']
096356011,['095566584']
079570341,['095581263']
082259613,['096356011']
095594895,['096536081']
095593096,['095581263']
096540632,['096536081']
095595337,['096540632']
079621078,['096535856']
095582831,['096540632']
079614126,['096540632']
095595601,['079801313']
082374553,['095593555']
079554268,['095566516']
096372038,['095593555']
092282539,['096356011']
092322540,['095582831']
095573560,['079801313']
095573865,['096540632']
095571383,['092282539']
082343061,['092282539']
095566074,['092322540']
079784548,['096536081']
082314571,['095566074']
095594799,['079621078']
079570277,['095566516']
092278014,['082259613']
095565543,['082314571']
096514110,['095581263']
095566604,['095571383']
079621613,['095573865']
095570816,['095571383']
096532637,['096540632']
092313362,['079621613']
095565356,['082343061']
092289348,['079614126']
095565528,['096514110']
096369356,['092282539']
095595791,['092322540']
079555046,['092282539']
095596055,['092282539']
095561304,['092289348']
092550616,['082343061']
095593589,['092550616']
082325362,['095593589']
096381118,['096369356']
095591281,['095594799']
095573555,['082259613']
082305835,['092322540']
082339079,['095571383']
095593788,['092282539']
,['096381118']
095570883,['079555046']
092772105,['095593788']
096541592,['095561304']
095572804,['096541592']
092525309,['082314571']
096531557,['096541592']
079627601,['095570883']
082277267,['095571383']
095594883,['079570341']
095596052,['096541592']
