infectee,infectors
EGMREEG,['SEED']
REMWHEG,['EGMREEG']
BKMLGLG,['REMWHEG']
FPEGEGM,['EGMREEG']
YEREEGM,['REMWHEG']
EGMFPWH,['YEREEGM']
EGMORUR,['REMWHEG']
WHBKEGM,['REMWHEG']
LBREBKM,['REMWHEG']
EGMYEBK,['WHBKEGM']
EGMWHLG,['EGMORUR']
BKMREYE,['EGMORUR']
BKMREWH,['EGMORUR']
REMVIWH,['REMWHEG']
BKMYEBK,['EGMORUR']
FPWHYEM,['EGMFPWH']
EGMEGVI,['LBREBKM']
EGMWHWH,['EGMEGVI']
EGMLGOR,['EGMEGVI']
WHFPYEM,['REMWHEG']
REREEGM,['EGMYEBK']
WHWHEGM,['WHFPYEM']
WHFPEGM,['REREEGM']
VIVIEGM,['REREEGM']
REURBKM,['EGMEGVI']
FPLGEGM,['REMWHEG']
BKREEGM,['REMVIWH']
FPYEBKM,['BKMYEBK']
EGMEGYE,['BKMYEBK']
WHEGEGM,['FPLGEGM']
BKMWHWH,['WHFPYEM']
BKREBKM,['FPLGEGM']
EGMRELB,['EGMORUR']
WHMWHWH,['REURBKM']
EGMYEUR,['REMVIWH']
BKFPEGM,['REMWHEG']
BKMVILB,['WHFPYEM']
URMREWH,['BKMVILB']
EGMBKEG,['BKMVILB']
EGMWHFP,['EGMBKEG']
EGMYELG,['EGMBKEG']
EGMYEWH,['EGMBKEG']
