infectee,infectors
Ant621,['SEED']
Ant206,"['Ant621', 'Ant308', 'Ant74']"
Ant147,"['Ant621', 'Ant206']"
Ant144,"['Ant621', 'Ant308', 'Ant147', 'Ant206']"
Ant158,"['Ant621', 'Ant308', 'Ant147', 'Ant144', 'Ant74', 'Ant206']"
Ant0,"['Ant158', 'Ant206']"
Ant376,"['Ant621', 'Ant308', 'Ant147', 'Ant144', 'Ant158', 'Ant206']"
Ant262,"['Ant308', 'Ant158', 'Ant206']"
Ant66,"['Ant621', 'Ant144', 'Ant376', 'Ant206']"
Ant838,"['Ant376', 'Ant308', 'Ant144', 'Ant66']"
Ant331,"['Ant621', 'Ant158', 'Ant376', 'Ant206', 'Ant308', 'Ant147', 'Ant144']"
Ant80,"['Ant838', 'Ant308', 'Ant147', 'Ant0', 'Ant262', 'Ant158', 'Ant74', 'Ant376', 'Ant206']"
Ant62,"['Ant0', 'Ant262', 'Ant158', 'Ant74', 'Ant80', 'Ant206', 'Ant376']"
Ant13,"['Ant621', 'Ant331', 'Ant308', 'Ant262', 'Ant74', 'Ant80', 'Ant206', 'Ant62']"
Ant353,"['Ant621', 'Ant331', 'Ant376', 'Ant206', 'Ant147', 'Ant144', 'Ant62']"
Ant635,"['Ant331', 'Ant158', 'Ant74', 'Ant13', 'Ant62', 'Ant80', 'Ant206']"
Ant299,"['Ant353', 'Ant838', 'Ant331', 'Ant0', 'Ant262', 'Ant158', 'Ant80', 'Ant376', 'Ant206', 'Ant62']"
Ant190,"['Ant621', 'Ant80', 'Ant262', 'Ant158', 'Ant206', 'Ant0', 'Ant635', 'Ant62']"
Ant620,"['Ant621', 'Ant331', 'Ant299', 'Ant838', 'Ant262', 'Ant80', 'Ant158', 'Ant206', 'Ant62', 'Ant190', 'Ant13', 'Ant308', 'Ant144', 'Ant353']"
Ant650,"['Ant621', 'Ant620', 'Ant353', 'Ant838', 'Ant331', 'Ant308', 'Ant147', 'Ant144', 'Ant13', 'Ant299', 'Ant62', 'Ant66', 'Ant206', 'Ant376']"
Ant64,"['Ant620', 'Ant353', 'Ant331', 'Ant308', 'Ant144', 'Ant0', 'Ant262', 'Ant299', 'Ant62', 'Ant635', 'Ant80', 'Ant206', 'Ant66']"
Ant174,"['Ant621', 'Ant620', 'Ant190', 'Ant650', 'Ant838', 'Ant331', 'Ant308', 'Ant144', 'Ant0', 'Ant262', 'Ant158', 'Ant13', 'Ant62', 'Ant64', 'Ant66', 'Ant80', 'Ant206', 'Ant376', 'Ant635']"
Ant175,"['Ant621', 'Ant620', 'Ant353', 'Ant650', 'Ant838', 'Ant331', 'Ant308', 'Ant147', 'Ant144', 'Ant0', 'Ant66', 'Ant80', 'Ant174', 'Ant206', 'Ant376']"
Ant140,"['Ant620', 'Ant190', 'Ant650', 'Ant838', 'Ant331', 'Ant376', 'Ant262', 'Ant80', 'Ant158', 'Ant0', 'Ant74', 'Ant635', 'Ant206', 'Ant13', 'Ant144', 'Ant299', 'Ant62']"
Ant96,"['Ant621', 'Ant620', 'Ant650', 'Ant838', 'Ant140', 'Ant308', 'Ant144', 'Ant0', 'Ant262', 'Ant158', 'Ant299', 'Ant62', 'Ant64', 'Ant66', 'Ant80', 'Ant175', 'Ant174', 'Ant376', 'Ant635']"
Ant91,"['Ant621', 'Ant620', 'Ant190', 'Ant650', 'Ant838', 'Ant308', 'Ant147', 'Ant144', 'Ant262', 'Ant74', 'Ant96', 'Ant299', 'Ant62', 'Ant64', 'Ant66', 'Ant80', 'Ant175', 'Ant174', 'Ant206', 'Ant376', 'Ant635']"
Ant268,"['Ant621', 'Ant650', 'Ant838', 'Ant140', 'Ant308', 'Ant147', 'Ant144', 'Ant262', 'Ant158', 'Ant13', 'Ant96', 'Ant91', 'Ant299', 'Ant64', 'Ant66', 'Ant80', 'Ant175', 'Ant174', 'Ant206', 'Ant376', 'Ant635']"
Ant54,"['Ant621', 'Ant620', 'Ant190', 'Ant838', 'Ant331', 'Ant262', 'Ant80', 'Ant158', 'Ant268', 'Ant175', 'Ant174', 'Ant0', 'Ant376', 'Ant635', 'Ant206', 'Ant13', 'Ant96', 'Ant308', 'Ant140', 'Ant91', 'Ant64', 'Ant66']"
Ant576,"['Ant621', 'Ant620', 'Ant353', 'Ant190', 'Ant650', 'Ant838', 'Ant54', 'Ant140', 'Ant308', 'Ant144', 'Ant635', 'Ant80', 'Ant268', 'Ant175', 'Ant174', 'Ant206', 'Ant376', 'Ant0', 'Ant96', 'Ant299', 'Ant62', 'Ant91', 'Ant66']"
Ant60,"['Ant621', 'Ant353', 'Ant650', 'Ant838', 'Ant331', 'Ant308', 'Ant147', 'Ant144', 'Ant0', 'Ant96', 'Ant376', 'Ant175', 'Ant174', 'Ant206', 'Ant66']"
