infectee,infectors
Ant68,['SEED']
Ant356,['Ant68']
Ant12,['Ant356']
Ant120,['Ant356']
Ant560,['Ant12']
Ant19,['Ant120']
Ant437,['Ant560']
Ant29,['Ant356']
Ant20,['Ant356']
Ant245,['Ant356']
Ant131,['Ant356']
Ant289,['Ant356']
Ant26,['Ant356']
Ant576,['Ant356']
Ant144,['Ant356']
Ant80,['Ant356']
Ant6,['Ant356']
Ant27,['Ant356']
Ant593,['Ant356']
Ant604,['Ant356']
Ant209,['Ant356']
Ant149,['Ant120']
Ant324,['Ant80']
Ant43,['Ant20']
Ant482,['Ant120']
Ant462,['Ant26']
Ant260,['Ant324']
Ant72,['Ant356']
Ant387,['Ant356']
Ant54,['Ant356']
Ant215,['Ant356']
Ant242,['Ant356']
Ant30,['Ant260']
Ant331,['Ant356']
Ant9,['Ant356']
Ant621,['Ant356']
Ant23,['Ant621']
Ant2,['Ant621']
Ant202,['Ant621']
Ant158,['Ant621']
Ant549,['Ant621']
Ant263,['Ant621']
Ant109,['Ant621']
Ant332,['Ant621']
Ant607,['Ant20']
Ant458,['Ant356']
Ant301,['Ant621']
Ant176,['Ant356']
Ant13,['Ant621']
Ant14,['Ant356']
Ant326,['Ant621']
Ant156,['Ant356']
Ant395,['Ant621']
Ant308,['Ant621']
Ant126,['Ant26']
Ant232,['Ant621']
Ant113,['Ant621']
Ant592,['Ant621']
Ant48,['Ant621']
Ant646,['Ant621']
Ant391,['Ant621']
Ant647,['Ant621']
Ant70,['Ant621']
Ant433,['Ant621']
Ant172,['Ant621']
Ant38,['Ant621']
Ant124,['Ant621']
Ant0,['Ant621']
Ant62,['Ant621']
Ant534,['Ant621']
Ant501,['Ant113']
Ant207,['Ant621']
Ant212,['Ant621']
Ant261,['Ant356']
Ant170,['Ant621']
Ant296,['Ant621']
Ant227,['Ant621']
Ant102,['Ant356']
Ant838,['Ant356']
Ant250,['Ant356']
Ant610,['Ant621']
Ant299,['Ant356']
Ant140,['Ant621']
Ant507,['Ant356']
Ant650,['Ant621']
Ant257,['Ant621']
Ant509,['Ant621']
Ant60,['Ant621']
Ant24,['Ant621']
Ant929,['Ant621']
Ant7,['Ant621']
Ant954,['Ant621']
Ant98,['Ant621']
Ant397,['Ant621']
Ant206,['Ant621']
Ant42,['Ant621']
Ant334,['Ant621']
Ant190,['Ant356']
Ant673,['Ant621']
Ant55,['Ant621']
Ant740,['Ant621']
Ant210,['Ant621']
Ant64,['Ant356']
Ant174,['Ant621']
Ant268,['Ant621']
Ant380,['Ant113']
Ant635,['Ant356']
Ant638,['Ant621']
Ant159,['Ant621']
Ant1,['Ant326']
Ant196,['Ant621']
Ant376,['Ant621']
Ant96,['Ant356']
Ant175,['Ant621']
Ant137,['Ant356']
Ant52,['Ant621']
Ant665,['Ant621']
Ant530,['Ant621']
Ant313,['Ant621']
Ant63,['Ant621']
Ant91,['Ant356']
Ant492,['Ant621']
Ant264,['Ant621']
Ant195,['Ant621']
Ant135,['Ant621']
Ant147,['Ant621']
Ant311,['Ant621']
Ant614,['Ant621']
Ant169,['Ant621']
Ant57,['Ant621']
Ant161,['Ant356']
Ant74,['Ant356']
Ant127,['Ant621']
Ant252,['Ant227']
Ant118,['Ant621']
Ant49,['Ant621']
Ant97,['Ant621']
Ant229,['Ant356']
Ant51,['Ant356']
Ant353,['Ant621']
Ant620,['Ant621']
Ant262,['Ant621']
Ant66,['Ant621']
