infectee,infectors
Ant299,['SEED']
Ant97,['Ant299']
Ant191,"['Ant299', 'Ant97']"
Ant391,"['Ant97', 'Ant299']"
Ant954,"['Ant391', 'Ant97', 'Ant299']"
Ant6,"['Ant954', 'Ant391', 'Ant191', 'Ant97', 'Ant299']"
Ant475,"['Ant954', 'Ant391', 'Ant6', 'Ant97', 'Ant299']"
Ant148,"['Ant954', 'Ant191', 'Ant97', 'Ant299', 'Ant475']"
Ant502,"['Ant954', 'Ant391', 'Ant6', 'Ant299', 'Ant148', 'Ant475']"
Ant305,"['Ant954', 'Ant391', 'Ant6', 'Ant191', 'Ant502', 'Ant97', 'Ant299', 'Ant148', 'Ant475']"
Ant242,"['Ant954', 'Ant391', 'Ant6', 'Ant191', 'Ant502', 'Ant97', 'Ant299', 'Ant305', 'Ant148', 'Ant475']"
Ant638,"['Ant242', 'Ant954', 'Ant391', 'Ant6', 'Ant191', 'Ant97', 'Ant305', 'Ant148', 'Ant475']"
Ant25,"['Ant242', 'Ant954', 'Ant391', 'Ant6', 'Ant191', 'Ant638', 'Ant502', 'Ant97', 'Ant299', 'Ant305', 'Ant148', 'Ant475']"
Ant599,"['Ant242', 'Ant954', 'Ant391', 'Ant6', 'Ant191', 'Ant638', 'Ant97', 'Ant299', 'Ant305', 'Ant475', 'Ant25']"
Ant73,"['Ant242', 'Ant954', 'Ant391', 'Ant6', 'Ant191', 'Ant638', 'Ant599', 'Ant502', 'Ant97', 'Ant299', 'Ant305', 'Ant475', 'Ant25']"
Ant593,"['Ant242', 'Ant954', 'Ant391', 'Ant6', 'Ant73', 'Ant638', 'Ant599', 'Ant97', 'Ant299', 'Ant305', 'Ant148', 'Ant475', 'Ant25']"
Ant256,"['Ant242', 'Ant954', 'Ant191', 'Ant73', 'Ant593', 'Ant638', 'Ant599', 'Ant97', 'Ant305', 'Ant475', 'Ant25']"
Ant51,"['Ant242', 'Ant954', 'Ant6', 'Ant73', 'Ant593', 'Ant638', 'Ant599', 'Ant97', 'Ant299', 'Ant148', 'Ant475', 'Ant256', 'Ant25']"
Ant592,"['Ant242', 'Ant954', 'Ant391', 'Ant6', 'Ant51', 'Ant73', 'Ant593', 'Ant638', 'Ant599', 'Ant502', 'Ant97', 'Ant299', 'Ant305', 'Ant475', 'Ant25']"
Ant27,"['Ant242', 'Ant954', 'Ant391', 'Ant6', 'Ant51', 'Ant73', 'Ant592', 'Ant638', 'Ant599', 'Ant97', 'Ant299', 'Ant305', 'Ant475', 'Ant256', 'Ant25']"
Ant476,"['Ant242', 'Ant954', 'Ant6', 'Ant51', 'Ant73', 'Ant638', 'Ant599', 'Ant97', 'Ant299', 'Ant25', 'Ant475']"
Ant176,"['Ant242', 'Ant954', 'Ant6', 'Ant391', 'Ant51', 'Ant191', 'Ant73', 'Ant593', 'Ant592', 'Ant638', 'Ant599', 'Ant502', 'Ant97', 'Ant299', 'Ant148', 'Ant476', 'Ant475', 'Ant256', 'Ant25', 'Ant27']"
Ant170,"['Ant242', 'Ant954', 'Ant6', 'Ant176', 'Ant391', 'Ant73', 'Ant593', 'Ant592', 'Ant638', 'Ant599', 'Ant97', 'Ant299', 'Ant305', 'Ant148', 'Ant476', 'Ant475', 'Ant25', 'Ant27']"
Ant650,"['Ant954', 'Ant170', 'Ant176', 'Ant6', 'Ant51', 'Ant73', 'Ant593', 'Ant592', 'Ant638', 'Ant97', 'Ant305', 'Ant148', 'Ant476', 'Ant475', 'Ant256', 'Ant25']"
Ant264,"['Ant242', 'Ant954', 'Ant6', 'Ant170', 'Ant176', 'Ant391', 'Ant51', 'Ant191', 'Ant73', 'Ant592', 'Ant638', 'Ant599', 'Ant97', 'Ant299', 'Ant305', 'Ant650', 'Ant476', 'Ant475', 'Ant256', 'Ant502', 'Ant27']"
Ant24,"['Ant242', 'Ant170', 'Ant176', 'Ant391', 'Ant6', 'Ant73', 'Ant593', 'Ant592', 'Ant638', 'Ant599', 'Ant502', 'Ant97', 'Ant299', 'Ant305', 'Ant650', 'Ant475', 'Ant25']"
Ant117,"['Ant242', 'Ant954', 'Ant264', 'Ant170', 'Ant176', 'Ant391', 'Ant6', 'Ant51', 'Ant191', 'Ant73', 'Ant593', 'Ant592', 'Ant638', 'Ant599', 'Ant502', 'Ant97', 'Ant299', 'Ant305', 'Ant148', 'Ant650', 'Ant475', 'Ant256', 'Ant24', 'Ant25', 'Ant27']"
Ant356,"['Ant242', 'Ant954', 'Ant264', 'Ant170', 'Ant176', 'Ant391', 'Ant117', 'Ant6', 'Ant51', 'Ant73', 'Ant593', 'Ant592', 'Ant599', 'Ant502', 'Ant97', 'Ant299', 'Ant305', 'Ant476', 'Ant475', 'Ant256', 'Ant24', 'Ant25', 'Ant27']"
Ant262,"['Ant242', 'Ant954', 'Ant6', 'Ant356', 'Ant264', 'Ant170', 'Ant176', 'Ant502', 'Ant117', 'Ant51', 'Ant191', 'Ant73', 'Ant593', 'Ant592', 'Ant638', 'Ant599', 'Ant97', 'Ant299', 'Ant148', 'Ant650', 'Ant476', 'Ant475', 'Ant256', 'Ant24', 'Ant25', 'Ant27']"
Ant263,"['Ant242', 'Ant954', 'Ant6', 'Ant262', 'Ant264', 'Ant170', 'Ant176', 'Ant391', 'Ant117', 'Ant51', 'Ant191', 'Ant73', 'Ant593', 'Ant592', 'Ant599', 'Ant299', 'Ant305', 'Ant148', 'Ant650', 'Ant475', 'Ant356', 'Ant24', 'Ant25', 'Ant27']"
