infectee,infectors
19,['SEED']
15,['19']
2,"['19', '15']"
1,"['19', '15']"
16,"['1', '15', '19']"
21,"['3', '17']"
14,"['2', '3', '17', '21']"
9,['15']
4,"['3', '9', '15']"
18,"['2', '3', '14', '17']"
0,"['3', '4', '17', '18', '21']"
6,"['2', '3', '4', '9', '14']"
20,"['0', '3', '14', '18']"
13,"['20', '21', '14']"
8,"['0', '18']"
7,"['3', '8', '18']"
10,"['3', '4', '6', '7']"
12,"['0', '3', '13', '17', '18', '20']"
5,"['3', '7', '8', '9', '10', '18']"
11,"['0', '8', '12', '13', '14', '18', '20']"
