infectee,infectors
052868539,['SEED']
055895006,['052868539']
047081094,['055895006']
052546596,['055895006']
055534020,['052868539']
052578362,['055895006']
055549354,['055895006']
055818611,['055534020']
053046040,['055895006']
052621053,['055534020']
052795840,['055549354']
052840081,['052621053']
052810110,['052578362']
056300338,['052840081']
056298632,['047081094']
053353331,['055534020']
053320861,['055534020']
052620092,['056298632']
055894115,['055534020']
052592864,['056298632']
054090837,['055894115']
055561093,['054090837']
047021569,['052621053']
047045785,['056298632']
055558777,['056298632']
053770517,['054090837']
053786606,['056300338']
047013364,['056298632']
043832868,['056298632']
052831081,['055534020']
052782315,['054090837']
053002044,['047021569']
055812121,['052620092']
047071522,['047021569']
052563046,['056300338']
047005846,['056298632']
056005127,['052563046']
052615372,['047071522']
053796771,['052615372']
053629110,['053796771']
056295098,['043832868']
053845086,['053629110']
052839038,['056300338']
053007772,['047021569']
053347625,['053796771']
053006591,['047071522']
053299076,['056295098']
052831093,['053796771']
052813052,['053299076']
052563065,['052840081']
052618840,['053796771']
053383263,['053006591']
053618604,['056298632']
052594637,['052563046']
052878374,['047071522']
052589371,['052620092']
053813312,['052615372']
055515026,['053299076']
046868004,['053845086']
053624102,['052878374']
046880586,['053796771']
052585821,['053299076']
053045604,['046868004']
052586322,['052878374']
053054615,['052615372']
052838274,['052878374']
052858346,['053629110']
047002307,['043832868']
047107258,['047002307']
055566285,['046868004']
055535025,['052563065']
055892586,['056295098']
055893818,['046868004']
053001335,['055892586']
053622580,['046868004']
052774614,['055892586']
052768802,['053624102']
053827282,['046868004']
052889777,['055566285']
055532519,['053045604']
053270309,['053813312']
053079039,['053299076']
053541568,['047002307']
052551043,['055566285']
053844033,['047021569']
052875301,['047002307']
056054856,['052858346']
052818800,['052768802']
053375071,['055893818']
053635024,['056298632']
052567890,['047002307']
052582894,['053635024']
047089101,['053375071']
046890272,['047002307']
055818073,['046890272']
046872628,['055812121']
047093059,['047002307']
053064327,['046868004']
055800347,['053079039']
053043360,['052774614']
047049527,['046868004']
055541565,['046868004']
053773349,['046872628']
055805554,['046890272']
052885381,['055893818']
053320063,['046872628']
055517326,['053320063']
055888332,['046868004']
055513563,['053635024']
052836595,['055515026']
047001578,['053635024']
056014070,['053043360']
056068783,['053635024']
052610029,['052885381']
053612814,['055893818']
053792299,['047002307']
052772596,['053007772']
053803289,['053792299']
047008052,['046868004']
055560119,['053635024']
054375782,['052582894']
047033619,['053792299']
052867280,['047093059']
053052885,['053792299']
053831351,['053612814']
055816525,['053043360']
052558545,['053375071']
055809298,['047033619']
052862278,['053043360']
052634040,['046868004']
055551081,['053792299']
052866845,['055892586']
052548372,['046872628']
053813867,['054375782']
053344516,['053052885']
052890287,['053813867']
