infectee,infectors
Ant19,['SEED']
Ant400,['Ant19']
Ant593,['Ant400']
Ant560,['Ant400']
Ant492,['Ant560']
Ant63,['Ant400']
Ant50,['Ant593']
Ant298,['Ant492']
Ant98,['Ant298']
Ant60,['Ant298']
Ant35,['Ant298']
Ant673,['Ant298']
Ant206,['Ant298']
Ant332,['Ant298']
Ant237,['Ant298']
Ant140,['Ant400']
Ant148,['Ant298']
Ant169,['Ant298']
Ant604,['Ant298']
Ant99,['Ant298']
Ant324,['Ant298']
Ant268,['Ant298']
Ant174,['Ant298']
Ant147,['Ant298']
Ant592,['Ant298']
Ant476,['Ant298']
Ant2,['Ant268']
Ant209,['Ant298']
Ant356,['Ant298']
Ant52,['Ant298']
Ant232,['Ant400']
Ant289,['Ant298']
Ant96,['Ant298']
Ant195,['Ant298']
Ant502,['Ant298']
Ant102,['Ant298']
Ant621,['Ant298']
Ant262,['Ant621']
Ant126,['Ant298']
Ant556,['Ant298']
Ant638,['Ant289']
Ant599,['Ant298']
Ant210,['Ant298']
Ant244,['Ant298']
Ant437,['Ant298']
Ant227,['Ant621']
Ant172,['Ant298']
Ant564,['Ant298']
Ant65,['Ant298']
Ant6,['Ant298']
Ant256,['Ant298']
Ant176,['Ant256']
Ant15,['Ant298']
Ant296,['Ant298']
Ant137,['Ant298']
Ant650,['Ant298']
Ant202,['Ant289']
Ant552,['Ant298']
