infectee,infectors
Ant244,['SEED']
Ant65,['Ant244']
Ant35,['Ant244']
Ant560,['Ant244']
Ant232,['Ant560']
Ant50,['Ant560']
Ant19,['Ant560']
Ant289,['Ant244']
Ant210,['Ant289']
Ant599,['Ant244']
Ant60,['Ant560']
Ant332,['Ant560']
Ant6,['Ant332']
Ant296,['Ant332']
Ant176,['Ant289']
Ant99,['Ant332']
Ant195,['Ant289']
Ant604,['Ant289']
Ant476,['Ant332']
Ant147,['Ant332']
Ant492,['Ant289']
Ant324,['Ant604']
Ant256,['Ant604']
Ant227,['Ant604']
Ant638,['Ant176']
Ant148,['Ant256']
Ant15,['Ant256']
Ant552,['Ant332']
Ant564,['Ant604']
Ant209,['Ant256']
Ant98,['Ant604']
Ant592,['Ant332']
Ant172,['Ant604']
Ant502,['Ant604']
Ant237,['Ant332']
Ant137,['Ant324']
Ant400,['Ant289']
Ant593,['Ant256']
Ant206,['Ant137']
Ant356,['Ant604']
Ant63,['Ant256']
Ant174,['Ant256']
Ant621,['Ant604']
Ant96,['Ant256']
Ant268,['Ant604']
Ant126,['Ant604']
Ant169,['Ant256']
Ant650,['Ant604']
Ant202,['Ant176']
Ant556,['Ant621']
Ant102,['Ant621']
Ant298,['Ant604']
Ant140,['Ant621']
Ant673,['Ant256']
Ant437,['Ant604']
Ant262,['Ant604']
Ant52,['Ant604']
Ant2,['Ant176']
