infectee,infectors
Ant227,['SEED']
Ant475,['Ant227']
Ant117,['Ant227']
Ant2,['Ant227']
Ant51,['Ant227']
Ant191,['Ant227']
Ant599,['Ant227']
Ant25,['Ant227']
Ant263,['Ant117']
Ant592,['Ant263']
Ant97,['Ant263']
Ant49,['Ant263']
Ant6,['Ant263']
Ant264,['Ant263']
Ant170,['Ant263']
Ant262,['Ant6']
Ant299,['Ant263']
Ant27,['Ant263']
Ant176,['Ant263']
Ant593,['Ant263']
Ant252,['Ant263']
Ant305,['Ant263']
Ant256,['Ant262']
Ant148,['Ant262']
Ant650,['Ant262']
Ant44,['Ant263']
Ant954,['Ant6']
Ant73,['Ant954']
Ant24,['Ant954']
Ant391,['Ant954']
Ant638,['Ant954']
Ant356,['Ant954']
Ant476,['Ant954']
Ant242,['Ant954']
Ant502,['Ant242']
