infectee,infectors
X19,['SEED']
X30,['X19']
X36,['X30']
X51,['X36']
X10,['X36']
X76,"['X10', 'X36']"
X75,"['X10', 'X76']"
X25,"['X10', 'X30', 'X36', 'X19', 'X51', 'X75']"
X31,"['X36', 'X25', 'X75', 'X51', 'X76']"
X45,"['X30', 'X51', 'X31']"
X13,"['X25', 'X51', 'X45']"
X35,"['X10', 'X25', 'X13', 'X31', 'X76']"
X47,['X51']
X50,"['X10', 'X30', 'X19', 'X31', 'X51']"
X5,"['X30', 'X50', 'X19']"
X27,['X76']
X65,"['X10', 'X36', 'X75', 'X51']"
X77,"['X10', 'X36', 'X25', 'X75', 'X65']"
X24,"['X5', 'X19', 'X35', 'X47', 'X50', 'X65', 'X76']"
X53,"['X10', 'X36', 'X75', 'X62', 'X76']"
X46,"['X10', 'X24', 'X30', 'X27', 'X51', 'X47']"
X22,"['X10', 'X30', 'X31', 'X65', 'X75', 'X77']"
X52,"['X10', 'X53']"
X26,"['X22', 'X53', 'X51', 'X46', 'X47']"
X41,"['X24', 'X35', 'X27', 'X52', 'X62']"
X12,"['X24', 'X35', 'X53', 'X26', 'X47', 'X31']"
X67,"['X10', 'X36', 'X26', 'X52', 'X53', 'X62', 'X76']"
X33,"['X25', 'X51', 'X26', 'X31', 'X47']"
X48,"['X10', 'X22', 'X36', 'X25', 'X75', 'X27', 'X41', 'X31', 'X33', 'X51', 'X76', 'X77']"
X58,"['X10', 'X27', 'X33', 'X41', 'X48', 'X51', 'X52', 'X62', 'X67', 'X76']"
X79,"['X24', 'X67', 'X50', 'X46', 'X76']"
X1,"['X10', 'X22', 'X24', 'X30', 'X58']"
X34,"['X22', 'X24', 'X36', 'X25', 'X41', 'X77', 'X31', 'X79']"
X49,"['X58', 'X36', 'X52', 'X76', 'X77', 'X31', 'X34', 'X62', 'X79']"
X54,"['X10', 'X24', 'X50', 'X5', 'X19', 'X26', 'X33', 'X45', 'X48']"
X40,"['X24', 'X30', 'X36', 'X41', 'X48', 'X26', 'X12', 'X46']"
X61,"['X58', 'X67', 'X41', 'X34', 'X46', 'X49', 'X52', 'X62', 'X77', 'X79']"
X37,"['X36', 'X75', 'X51', 'X40', 'X61', 'X12', 'X45', 'X62', 'X79']"
X78,"['X24', 'X67', 'X40', 'X46', 'X12', 'X49']"
X69,"['X58', 'X36', 'X41', 'X51', 'X47', 'X78', 'X49']"
X29,"['X10', 'X22', 'X58', 'X36', 'X67', 'X27', 'X5', 'X26', 'X41', 'X52', 'X77']"
X15,"['X10', 'X22', 'X27', 'X29', 'X31', 'X41', 'X54']"
X43,"['X67', 'X27', 'X53', 'X40', 'X61', 'X69']"
X6,"['X10', 'X22', 'X25', 'X50', 'X15', 'X41', 'X48', 'X51']"
X56,"['X58', 'X36', 'X6', 'X48', 'X51', 'X65', 'X79']"
X17,"['X58', 'X67', 'X15', 'X27', 'X41', 'X48', 'X33', 'X45', 'X49', 'X61', 'X77']"
X38,"['X10', 'X22', 'X24', 'X58', 'X36', 'X67', 'X15', 'X27', 'X12', 'X17', 'X26', 'X37', 'X53', 'X62']"
X74,"['X58', 'X29', 'X6', 'X43', 'X49', 'X61']"
X14,"['X35', 'X27', 'X38', 'X29', 'X41', 'X51', 'X33', 'X40', 'X47', 'X69']"
X28,"['X10', 'X58', 'X36', 'X12', 'X15', 'X17', 'X29', 'X37', 'X38', 'X41', 'X48', 'X50', 'X51', 'X56', 'X62']"
X63,"['X58', 'X15', 'X38', 'X65', 'X29', 'X48', 'X52', 'X76']"
X55,"['X36', 'X25', 'X28', 'X38', 'X29', 'X6', 'X51', 'X17', 'X26', 'X37', 'X49', 'X62', 'X63', 'X76']"
X32,"['X41', 'X17', 'X12', 'X14', 'X40', 'X52', 'X77']"
X4,"['X10', 'X36', 'X15', 'X27', 'X38', 'X53', 'X56', 'X65']"
X3,"['X4', 'X25', 'X28', 'X35', 'X50', 'X75']"
X9,"['X58', 'X36', 'X67', 'X28', 'X50', 'X27', 'X38', 'X29', 'X6', 'X17', 'X26', 'X32', 'X40', 'X41', 'X55', 'X61']"
X11,"['X22', 'X3', 'X67', 'X4', 'X6', 'X9', 'X13', 'X14', 'X17', 'X26', 'X29', 'X33', 'X37', 'X41', 'X47', 'X51']"
X20,"['X25', 'X28', 'X15', 'X27', 'X29']"
X16,"['X36', 'X4', 'X50', 'X6', 'X32', 'X37', 'X48', 'X56', 'X61', 'X63', 'X74']"
X39,"['X58', 'X28', 'X75', 'X38', 'X54', 'X55', 'X33', 'X17', 'X77', 'X37', 'X62']"
X73,"['X58', 'X11', 'X5', 'X29', 'X6', 'X17', 'X20', 'X48', 'X52', 'X63']"
X7,"['X1', 'X5', 'X6', 'X16', 'X33', 'X50']"
X60,"['X20', 'X50', 'X55', 'X56']"
X42,"['X58', 'X36', 'X38', 'X29', 'X73', 'X6', 'X41', 'X14', 'X39', 'X40', 'X48', 'X51', 'X61']"
X18,"['X10', 'X11', 'X38', 'X53', 'X9', 'X41', 'X48', 'X51', 'X33', 'X17', 'X26', 'X43', 'X47', 'X49', 'X63']"
X70,"['X24', 'X3', 'X60', 'X5', 'X19', 'X56', 'X73', 'X77']"
X71,"['X70', 'X74', 'X61', 'X77', 'X14', 'X69', 'X34', 'X49']"
X59,"['X10', 'X20', 'X39', 'X54', 'X60']"
X66,"['X10', 'X58', 'X67', 'X38', 'X29', 'X73', 'X42', 'X55', 'X74', 'X52', 'X43', 'X62', 'X63', 'X76', 'X78']"
X64,"['X67', 'X74', 'X52', 'X71', 'X43', 'X34']"
X68,"['X58', 'X11', 'X25', 'X65', 'X9', 'X51', 'X55', 'X33', 'X32', 'X14', 'X37', 'X39', 'X46', 'X47', 'X52', 'X63', 'X69']"
X8,"['X3', 'X54', 'X59', 'X75']"
X2,"['X1', 'X3', 'X8', 'X36', 'X59', 'X60', 'X67']"
X23,"['X10', 'X3', 'X14', 'X17', 'X20', 'X27', 'X28', 'X32', 'X39', 'X41', 'X52', 'X63', 'X64', 'X66', 'X78']"
X72,"['X2', 'X1', 'X8']"
X44,"['X10', 'X67', 'X23', 'X38', 'X9', 'X55', 'X43']"
X21,"['X2', 'X1', 'X5', 'X8', 'X20', 'X54', 'X70']"
X57,"['X10', 'X30', 'X36', 'X67', 'X4', 'X28', 'X27', 'X9', 'X12', 'X18', 'X32', 'X42', 'X47', 'X48', 'X55', 'X63', 'X76']"
