infectee,infectors
Ant356,['SEED']
Ant476,"['Ant356', 'Ant599']"
Ant52,"['Ant356', 'Ant599', 'Ant476']"
Ant232,"['Ant356', 'Ant476']"
Ant437,"['Ant599', 'Ant232']"
Ant169,"['Ant52', 'Ant356', 'Ant599']"
Ant262,"['Ant356', 'Ant52', 'Ant599', 'Ant232', 'Ant437']"
Ant210,"['Ant262', 'Ant52', 'Ant599', 'Ant169', 'Ant476', 'Ant232', 'Ant437']"
Ant148,"['Ant52', 'Ant356', 'Ant169', 'Ant476', 'Ant232']"
Ant60,"['Ant52', 'Ant356', 'Ant599', 'Ant169', 'Ant148', 'Ant476', 'Ant210']"
Ant592,"['Ant52', 'Ant476', 'Ant232', 'Ant356', 'Ant60', 'Ant148']"
Ant209,"['Ant356', 'Ant592', 'Ant599', 'Ant148', 'Ant232', 'Ant210', 'Ant60', 'Ant169']"
Ant556,"['Ant209', 'Ant52', 'Ant592', 'Ant356', 'Ant599', 'Ant169', 'Ant148', 'Ant476', 'Ant232', 'Ant210', 'Ant60']"
Ant206,"['Ant262', 'Ant209', 'Ant592', 'Ant52', 'Ant356', 'Ant599', 'Ant148', 'Ant476', 'Ant232', 'Ant556', 'Ant210', 'Ant437', 'Ant60', 'Ant169']"
Ant332,"['Ant356', 'Ant206', 'Ant209', 'Ant599', 'Ant52', 'Ant592', 'Ant148', 'Ant476', 'Ant232', 'Ant556', 'Ant210', 'Ant60', 'Ant169']"
Ant552,"['Ant332', 'Ant209', 'Ant206', 'Ant599', 'Ant169', 'Ant148', 'Ant232', 'Ant556', 'Ant210', 'Ant60']"
Ant560,"['Ant262', 'Ant52', 'Ant356', 'Ant599', 'Ant169', 'Ant556', 'Ant210', 'Ant552', 'Ant60']"
Ant502,"['Ant262', 'Ant560', 'Ant52', 'Ant599', 'Ant148', 'Ant476', 'Ant232', 'Ant210', 'Ant552', 'Ant437', 'Ant169']"
Ant65,"['Ant262', 'Ant332', 'Ant560', 'Ant206', 'Ant502', 'Ant599', 'Ant169', 'Ant210', 'Ant552']"
Ant492,"['Ant332', 'Ant206', 'Ant356', 'Ant599', 'Ant592', 'Ant148', 'Ant476', 'Ant232', 'Ant556', 'Ant210', 'Ant60', 'Ant169']"
Ant237,"['Ant332', 'Ant560', 'Ant206', 'Ant52', 'Ant599', 'Ant169', 'Ant148', 'Ant476', 'Ant556', 'Ant210', 'Ant552', 'Ant60']"
Ant147,"['Ant332', 'Ant209', 'Ant206', 'Ant502', 'Ant492', 'Ant592', 'Ant356', 'Ant599', 'Ant169', 'Ant148', 'Ant476', 'Ant232', 'Ant556', 'Ant210', 'Ant60']"
Ant6,"['Ant262', 'Ant332', 'Ant560', 'Ant206', 'Ant502', 'Ant599', 'Ant492', 'Ant52', 'Ant592', 'Ant147', 'Ant148', 'Ant476', 'Ant232', 'Ant210', 'Ant356', 'Ant60', 'Ant169']"
Ant63,"['Ant262', 'Ant332', 'Ant206', 'Ant502', 'Ant6', 'Ant492', 'Ant52', 'Ant169', 'Ant148', 'Ant556', 'Ant210', 'Ant552', 'Ant65']"
Ant15,"['Ant332', 'Ant6', 'Ant492', 'Ant356', 'Ant592', 'Ant147', 'Ant148', 'Ant476', 'Ant556', 'Ant237', 'Ant60', 'Ant169']"
Ant96,"['Ant262', 'Ant560', 'Ant6', 'Ant15', 'Ant52', 'Ant356', 'Ant599', 'Ant169', 'Ant148', 'Ant476', 'Ant232', 'Ant556', 'Ant237', 'Ant60']"
Ant50,"['Ant332', 'Ant209', 'Ant560', 'Ant502', 'Ant6', 'Ant592', 'Ant356', 'Ant599', 'Ant96', 'Ant169', 'Ant148', 'Ant476', 'Ant232', 'Ant556', 'Ant210', 'Ant147']"
Ant621,"['Ant262', 'Ant560', 'Ant206', 'Ant502', 'Ant599', 'Ant209', 'Ant50', 'Ant52', 'Ant15', 'Ant147', 'Ant148', 'Ant476', 'Ant210', 'Ant237', 'Ant552', 'Ant60', 'Ant65', 'Ant169']"
Ant593,"['Ant209', 'Ant560', 'Ant502', 'Ant6', 'Ant15', 'Ant599', 'Ant50', 'Ant96', 'Ant147', 'Ant476', 'Ant232', 'Ant556', 'Ant210', 'Ant237', 'Ant437', 'Ant60', 'Ant169']"
Ant99,"['Ant621', 'Ant332', 'Ant560', 'Ant206', 'Ant502', 'Ant6', 'Ant15', 'Ant52', 'Ant593', 'Ant169', 'Ant147', 'Ant232', 'Ant556', 'Ant210', 'Ant237', 'Ant552', 'Ant60', 'Ant63', 'Ant65']"
Ant650,"['Ant621', 'Ant332', 'Ant209', 'Ant560', 'Ant206', 'Ant6', 'Ant492', 'Ant15', 'Ant52', 'Ant592', 'Ant356', 'Ant599', 'Ant169', 'Ant148', 'Ant99', 'Ant147', 'Ant476', 'Ant232', 'Ant556', 'Ant60']"
Ant324,"['Ant621', 'Ant332', 'Ant209', 'Ant560', 'Ant206', 'Ant502', 'Ant6', 'Ant52', 'Ant593', 'Ant599', 'Ant96', 'Ant169', 'Ant99', 'Ant232', 'Ant556', 'Ant210', 'Ant237', 'Ant552', 'Ant60']"
Ant244,"['Ant621', 'Ant262', 'Ant332', 'Ant560', 'Ant206', 'Ant502', 'Ant6', 'Ant356', 'Ant52', 'Ant599', 'Ant169', 'Ant324', 'Ant99', 'Ant476', 'Ant556', 'Ant210', 'Ant237', 'Ant552', 'Ant63']"
Ant172,"['Ant621', 'Ant262', 'Ant560', 'Ant6', 'Ant492', 'Ant244', 'Ant593', 'Ant15', 'Ant147', 'Ant148', 'Ant99', 'Ant476', 'Ant232', 'Ant324', 'Ant210', 'Ant237', 'Ant437', 'Ant502', 'Ant63', 'Ant65', 'Ant169']"
Ant19,"['Ant621', 'Ant262', 'Ant332', 'Ant172', 'Ant209', 'Ant560', 'Ant206', 'Ant6', 'Ant492', 'Ant244', 'Ant15', 'Ant593', 'Ant592', 'Ant599', 'Ant50', 'Ant96', 'Ant169', 'Ant99', 'Ant650', 'Ant476', 'Ant232', 'Ant556', 'Ant324', 'Ant210', 'Ant552', 'Ant437', 'Ant63', 'Ant147']"
Ant638,"['Ant172', 'Ant437', 'Ant502']"
Ant176,"['Ant621', 'Ant262', 'Ant332', 'Ant172', 'Ant209', 'Ant560', 'Ant206', 'Ant502', 'Ant6', 'Ant50', 'Ant593', 'Ant19', 'Ant599', 'Ant96', 'Ant169', 'Ant324', 'Ant148', 'Ant99', 'Ant650', 'Ant476', 'Ant232', 'Ant556', 'Ant210', 'Ant356', 'Ant437', 'Ant63', 'Ant65', 'Ant147']"
Ant604,"['Ant262', 'Ant172', 'Ant176', 'Ant206', 'Ant502', 'Ant6', 'Ant593', 'Ant599', 'Ant19', 'Ant50', 'Ant96', 'Ant324', 'Ant99', 'Ant232', 'Ant210', 'Ant237', 'Ant437', 'Ant60']"
Ant174,"['Ant621', 'Ant262', 'Ant332', 'Ant172', 'Ant209', 'Ant176', 'Ant604', 'Ant560', 'Ant206', 'Ant502', 'Ant599', 'Ant6', 'Ant244', 'Ant50', 'Ant52', 'Ant492', 'Ant356', 'Ant19', 'Ant15', 'Ant147', 'Ant148', 'Ant650', 'Ant556', 'Ant324', 'Ant210', 'Ant237', 'Ant552', 'Ant60', 'Ant63', 'Ant169']"
Ant673,"['Ant621', 'Ant262', 'Ant332', 'Ant172', 'Ant209', 'Ant176', 'Ant174', 'Ant560', 'Ant206', 'Ant502', 'Ant6', 'Ant492', 'Ant244', 'Ant52', 'Ant593', 'Ant356', 'Ant599', 'Ant19', 'Ant604', 'Ant96', 'Ant169', 'Ant324', 'Ant50', 'Ant147', 'Ant650', 'Ant476', 'Ant210', 'Ant237', 'Ant60', 'Ant63']"
Ant98,"['Ant621', 'Ant332', 'Ant172', 'Ant209', 'Ant176', 'Ant174', 'Ant560', 'Ant206', 'Ant6', 'Ant492', 'Ant244', 'Ant15', 'Ant52', 'Ant593', 'Ant592', 'Ant356', 'Ant599', 'Ant19', 'Ant604', 'Ant96', 'Ant169', 'Ant148', 'Ant673', 'Ant99', 'Ant50', 'Ant147', 'Ant650', 'Ant476', 'Ant232', 'Ant556', 'Ant210', 'Ant237', 'Ant552', 'Ant60', 'Ant63']"
Ant102,"['Ant621', 'Ant172', 'Ant176', 'Ant174', 'Ant560', 'Ant206', 'Ant492', 'Ant15', 'Ant52', 'Ant592', 'Ant356', 'Ant599', 'Ant19', 'Ant604', 'Ant169', 'Ant324', 'Ant148', 'Ant673', 'Ant99', 'Ant98', 'Ant650', 'Ant476', 'Ant556', 'Ant50', 'Ant147', 'Ant60']"
Ant137,"['Ant604', 'Ant262', 'Ant172', 'Ant176', 'Ant560', 'Ant6', 'Ant244', 'Ant50', 'Ant593', 'Ant19', 'Ant599', 'Ant96', 'Ant673', 'Ant99', 'Ant232', 'Ant324', 'Ant210', 'Ant237', 'Ant552', 'Ant60']"
Ant289,"['Ant593', 'Ant638', 'Ant604', 'Ant437', 'Ant502', 'Ant169', 'Ant172', 'Ant176']"
Ant35,"['Ant621', 'Ant262', 'Ant332', 'Ant172', 'Ant176', 'Ant174', 'Ant560', 'Ant206', 'Ant6', 'Ant244', 'Ant52', 'Ant599', 'Ant19', 'Ant604', 'Ant50', 'Ant148', 'Ant673', 'Ant99', 'Ant324', 'Ant210', 'Ant237', 'Ant437', 'Ant60', 'Ant63', 'Ant65']"
Ant400,"['Ant621', 'Ant137', 'Ant262', 'Ant332', 'Ant172', 'Ant209', 'Ant176', 'Ant174', 'Ant206', 'Ant502', 'Ant6', 'Ant492', 'Ant244', 'Ant15', 'Ant52', 'Ant593', 'Ant356', 'Ant599', 'Ant19', 'Ant35', 'Ant169', 'Ant324', 'Ant148', 'Ant673', 'Ant650', 'Ant476', 'Ant556', 'Ant552', 'Ant102', 'Ant60', 'Ant63', 'Ant65']"
Ant268,"['Ant289', 'Ant172', 'Ant560', 'Ant638', 'Ant210', 'Ant244', 'Ant35', 'Ant437', 'Ant673', 'Ant176']"
Ant195,"['Ant621', 'Ant137', 'Ant262', 'Ant172', 'Ant176', 'Ant174', 'Ant206', 'Ant502', 'Ant6', 'Ant244', 'Ant604', 'Ant400', 'Ant50', 'Ant52', 'Ant593', 'Ant356', 'Ant19', 'Ant35', 'Ant169', 'Ant324', 'Ant673', 'Ant99', 'Ant98', 'Ant232', 'Ant210', 'Ant237', 'Ant552', 'Ant60', 'Ant63', 'Ant65']"
