infectee,infectors
073042617,['SEED']
072781827,['073042617']
072893366,['073042617']
073087845,['073042617']
072808594,['072893366']
073053357,['072808594']
072772518,['072893366']
072860777,['073042617']
072792556,['072893366']
072801068,['072772518']
073005590,['073053357']
072832100,['072772518']
072806315,['072860777']
073080884,['072772518']
072797843,['072801068']
072860513,['072797843']
063537040,['072797843']
072804561,['072797843']
072836035,['072797843']
073025309,['072836035']
072776818,['073025309']
067059850,['072836035']
073045077,['067059850']
072857277,['073045077']
072841373,['073025309']
