infectee,infectors
E51,['SEED']
J2,['E51']
E26,['J2']
G1,"['E26', 'E51']"
52F,['G1']
D54,"['G1', 'J2']"
C5,"['52F', 'D54', 'E26', 'E51']"
D31,"['C5', 'G1', 'J2']"
E28,"['C5', 'G1']"
B22,"['D31', 'E26', 'E28', 'E51']"
E24,"['C5', 'B22', 'G1', 'J2']"
D13,"['D31', 'E24', 'E26', 'E28', 'E51']"
E43,"['D13', 'C5', 'B22', 'J2']"
58F,['B22']
208M,['D31']
E52,"['D13', 'G1', 'J2', '208M']"
E2,"['52F', 'E26', 'E28', 'E43', 'E52']"
J3,"['D31', 'E24', 'E43']"
62F,"['B22', 'E2', 'J3']"
B29,"['62F', 'E24', 'E26', 'E52']"
108F,"['D13', 'C5', 'B22']"
