infectee,infectors
Ant294,['SEED']
Ant614,['Ant294']
Ant245,['Ant294']
Ant242,['Ant294']
Ant663,['Ant294']
Ant50,['Ant663']
Ant387,['Ant663']
Ant226,['Ant663']
Ant580,['Ant663']
Ant191,['Ant580']
Ant218,['Ant580']
Ant207,['Ant580']
Ant332,['Ant580']
Ant25,['Ant580']
Ant632,['Ant580']
Ant13,['Ant580']
Ant40,['Ant580']
Ant673,['Ant580']
Ant353,['Ant580']
Ant43,['Ant580']
Ant68,['Ant580']
Ant139,['Ant663']
Ant114,['Ant580']
Ant52,['Ant580']
Ant391,['Ant580']
Ant91,['Ant580']
Ant66,['Ant580']
Ant376,['Ant580']
Ant71,['Ant580']
Ant263,['Ant580']
Ant57,['Ant580']
Ant97,['Ant580']
Ant5,['Ant580']
Ant126,['Ant580']
Ant196,['Ant580']
Ant105,['Ant580']
Ant334,['Ant580']
Ant549,['Ant580']
Ant62,['Ant580']
Ant250,['Ant580']
Ant308,['Ant580']
Ant195,['Ant580']
Ant638,['Ant580']
Ant30,['Ant580']
Ant492,['Ant580']
Ant32,['Ant580']
Ant29,['Ant580']
Ant159,['Ant580']
Ant256,['Ant580']
Ant148,['Ant580']
Ant100,['Ant580']
Ant20,['Ant580']
Ant59,['Ant263']
Ant243,['Ant580']
Ant261,['Ant580']
Ant27,['Ant580']
Ant156,['Ant332']
Ant135,['Ant580']
Ant305,['Ant580']
Ant174,['Ant263']
Ant81,['Ant580']
Ant209,['Ant580']
Ant320,['Ant580']
Ant607,['Ant580']
Ant318,['Ant580']
Ant646,['Ant156']
