infectee,infectors
072626337,['SEED']
073043573,['072626337']
096516312,['073043573']
079801805,['096516312']
096356289,['096516312']
079619317,['073043573']
079626113,['096356289']
079772062,['072626337']
072824538,['096356289']
073088516,['096516312']
079785859,['072824538']
079585038,['072824538']
079586599,['079626113']
079612350,['079626113']
079639538,['079785859']
079795580,['079585038']
079591367,['079785859']
079587786,['096516312']
079575895,['079639538']
079792829,['079626113']
079635347,['079795580']
079774883,['079795580']
079631786,['072824538']
079636803,['096356289']
079566084,['096516312']
079600303,['079631786']
079797292,['079619317']
079627087,['079626113']
079607627,['079619317']
079571367,['079566084']
079795341,['079785859']
073080095,['079619317']
096518589,['079797292']
079771540,['073080095']
079616608,['079771540']
096526805,['079636803']
079784548,['096518589']
079771350,['079771540']
079602301,['096518589']
079581319,['079612350']
079602812,['079602301']
072823560,['073080095']
079571357,['079566084']
073033266,['079774883']
079622330,['079619317']
079559380,['096356289']
079560280,['073033266']
072812829,['079571357']
079578356,['072812829']
096554111,['072812829']
079791615,['096554111']
079782624,['079600303']
096380592,['079782624']
079585365,['096554111']
079776517,['072812829']
079776038,['072812829']
096543260,['079560280']
079578589,['079776517']
079564085,['079560280']
096539038,['079564085']
079575837,['079776038']
079768583,['079585365']
079588039,['079768583']
079624319,['079776038']
073047886,['079575837']
095571796,['073047886']
095583111,['073047886']
079566075,['079624319']
079788561,['073047886']
079606012,['079776517']
073095014,['079602812']
079779791,['073047886']
079565531,['079776517']
096516892,['079624319']
079581292,['073047886']
079608806,['096516892']
079629276,['079566075']
079622894,['079608806']
072796785,['073047886']
095582381,['072796785']
079776085,['072796785']
095593348,['072796785']
096357807,['079624319']
079626258,['079776085']
079582824,['095582381']
079561779,['079626258']
