infectee,infectors
Ant462,['SEED']
Ant268,['Ant462']
Ant387,['Ant268']
Ant124,['Ant387']
Ant518,['Ant124']
Ant76,['Ant518']
Ant64,['Ant518']
Ant4,['Ant518']
Ant538,['Ant124']
Ant14,['Ant518']
Ant243,['Ant518']
Ant196,['Ant518']
Ant475,['Ant196']
Ant173,['Ant196']
Ant458,['Ant196']
Ant324,['Ant196']
Ant73,['Ant196']
Ant257,['Ant196']
Ant599,['Ant196']
Ant169,['Ant196']
Ant353,['Ant324']
Ant159,['Ant353']
Ant50,['Ant353']
Ant98,['Ant353']
Ant19,['Ant353']
Ant198,['Ant353']
Ant27,['Ant353']
Ant394,['Ant196']
Ant190,['Ant243']
Ant113,['Ant353']
Ant298,['Ant353']
Ant158,['Ant353']
Ant482,['Ant353']
Ant501,['Ant353']
Ant294,['Ant196']
Ant342,['Ant353']
Ant148,['Ant113']
Ant91,['Ant353']
Ant127,['Ant113']
Ant38,['Ant353']
Ant7,['Ant113']
Ant178,['Ant113']
Ant217,['Ant353']
Ant43,['Ant353']
Ant9,['Ant196']
Ant139,['Ant113']
Ant560,['Ant353']
Ant593,['Ant353']
Ant332,['Ant353']
Ant97,['Ant353']
Ant614,['Ant353']
Ant13,['Ant353']
Ant26,['Ant353']
Ant131,['Ant353']
Ant63,['Ant353']
Ant117,['Ant353']
Ant621,['Ant332']
Ant52,['Ant353']
Ant55,['Ant353']
Ant32,['Ant621']
Ant242,['Ant117']
Ant620,['Ant621']
Ant437,['Ant620']
Ant263,['Ant621']
Ant347,['Ant621']
Ant23,['Ant621']
Ant260,['Ant621']
Ant191,['Ant620']
Ant42,['Ant620']
Ant0,['Ant620']
Ant395,['Ant620']
Ant153,['Ant620']
Ant140,['Ant620']
Ant6,['Ant621']
Ant238,['Ant621']
Ant142,['Ant621']
Ant156,['Ant620']
Ant44,['Ant621']
Ant356,['Ant621']
Ant289,['Ant620']
Ant186,['Ant356']
Ant218,['Ant621']
Ant219,['Ant620']
Ant209,['Ant621']
Ant176,['Ant621']
Ant30,['Ant621']
Ant115,['Ant621']
Ant195,['Ant356']
Ant552,['Ant620']
Ant109,['Ant620']
Ant215,['Ant620']
Ant202,['Ant621']
Ant29,['Ant620']
Ant527,['Ant621']
Ant255,['Ant621']
Ant530,['Ant621']
Ant311,['Ant621']
Ant100,['Ant621']
Ant390,['Ant620']
Ant380,['Ant620']
Ant149,['Ant621']
Ant540,['Ant620']
Ant137,['Ant621']
Ant308,['Ant620']
Ant318,['Ant621']
Ant60,['Ant621']
Ant232,['Ant621']
Ant252,['Ant621']
Ant207,['Ant620']
Ant507,['Ant621']
Ant400,['Ant620']
Ant564,['Ant621']
Ant492,['Ant621']
