infectee,infectors
0.004716981,['SEED']
0.059907834,['0.004716981']
0.004694836,['0.059907834']
0.005154639,['0.059907834']
0.004878049,['0.059907834']
0.028169014,['0.059907834']
0.052884615,['0.059907834']
0.028846154,['0.052884615']
0.015075377,['0.052884615']
0.065,['0.052884615']
0.048309179,['0.052884615']
0.01843318,['0.052884615']
0.00921659,['0.052884615']
0.014084507,['0.052884615']
0.009478673,['0.052884615']
0.02,['0.052884615']
0.041860465,['0.052884615']
0.027522936,['0.052884615']
0.009174312,['0.052884615']
0.024271845,['0.052884615']
0.004608295,['0.041860465']
0.005025126,['0.052884615']
0.042253521,['0.052884615']
0.074418605,['0.052884615']
0.019704433,['0.052884615']
0.097087379,['0.074418605']
0.013824885,['0.074418605']
0.034653465,['0.074418605']
0.038834951,['0.074418605']
0.013392857,['0.074418605']
0.004784689,['0.052884615']
0.004901961,['0.052884615']
0.038647343,['0.074418605']
0.033333333,['0.074418605']
0.009433962,['0.033333333']
0.018779343,['0.033333333']
0.047169811,['0.018779343']
0.041450777,['0.033333333']
0.01980198,['0.018779343']
0.009389671,['0.018779343']
0.015,['0.033333333']
0.09569378,['0.018779343']
0.014150943,['0.033333333']
0.023696682,['0.018779343']
0.023148148,['0.033333333']
0.043478261,['0.018779343']
0.574468085,['0.018779343']
0.035,['0.018779343']
0.009259259,['0.033333333']
0.338308458,['0.018779343']
0.045248869,['0.018779343']
0.004587156,['0.033333333']
0.022624434,['0.033333333']
0.428571429,['0.018779343']
0.004854369,['0.033333333']
0.009302326,['0.033333333']
0.014354067,['0.033333333']
