infectee,infectors
X35,['SEED']
X74,['X39']
X76,"['X35', 'X39']"
X22,"['X35', 'X39', 'X76']"
X24,"['X22', 'X39', 'X76']"
X51,"['X22', 'X35', 'X39', 'X24', 'X74', 'X76']"
X67,"['X39', 'X24']"
X58,"['X67', 'X74']"
X60,"['X22', 'X39', 'X51', 'X24', 'X67', 'X74']"
X16,"['X60', 'X67', 'X76']"
X15,"['X39', 'X51', 'X60', 'X67']"
X4,"['X15', 'X22', 'X39', 'X51', 'X74', 'X76']"
X66,"['X16', 'X39', 'X67', 'X74', 'X76']"
X31,"['X16', 'X22', 'X39', 'X51']"
X44,"['X4', 'X16', 'X22', 'X35', 'X51', 'X58', 'X60', 'X67', 'X74', 'X76']"
X78,"['X4', 'X16', 'X39', 'X51']"
X32,"['X4', 'X15', 'X16', 'X22', 'X31', 'X35', 'X39', 'X44', 'X51', 'X60', 'X66', 'X67', 'X74', 'X76', 'X78', 'X24']"
X86,"['X16', 'X22', 'X31', 'X35', 'X39', 'X74', 'X76', 'X24', 'X32']"
X54,"['X4', 'X22', 'X35', 'X39', 'X44', 'X51', 'X60', 'X66', 'X67', 'X76', 'X78', 'X32']"
X3,"['X16', 'X22', 'X31', 'X32', 'X35', 'X39', 'X51', 'X58', 'X60', 'X66', 'X74', 'X76']"
X70,"['X4', 'X22', 'X31', 'X39', 'X44', 'X51', 'X60', 'X74', 'X78', 'X32']"
X25,"['X3', 'X4', 'X15', 'X16', 'X22', 'X24', 'X32', 'X39', 'X44', 'X60', 'X76', 'X86']"
X26,"['X25', 'X31', 'X51', 'X60', 'X76', 'X86']"
X72,"['X16', 'X22', 'X26', 'X31', 'X35', 'X39', 'X51', 'X60', 'X66', 'X24', 'X32', 'X74', 'X76', 'X86']"
X75,"['X25', 'X31', 'X39', 'X51', 'X60', 'X66', 'X67', 'X78', 'X32', 'X70', 'X54']"
X43,"['X3', 'X15', 'X22', 'X25', 'X35', 'X39', 'X44', 'X51', 'X60', 'X72', 'X78', 'X24', 'X32', 'X70', 'X54']"
X79,"['X3', 'X15', 'X16', 'X25', 'X31', 'X44', 'X51', 'X60', 'X66', 'X67', 'X72', 'X74', 'X76', 'X24', 'X32', 'X54']"
X47,"['X4', 'X15', 'X16', 'X22', 'X25', 'X31', 'X35', 'X39', 'X44', 'X24', 'X32', 'X43', 'X51', 'X54', 'X60', 'X66', 'X72', 'X75', 'X76', 'X78', 'X79', 'X86']"
X8,"['X3', 'X16', 'X26', 'X31', 'X32', 'X35', 'X39', 'X43', 'X44', 'X51', 'X60', 'X70', 'X74', 'X76', 'X79', 'X86']"
X56,"['X25', 'X31', 'X47', 'X51', 'X32', 'X60', 'X72', 'X79']"
X46,"['X3', 'X4', 'X8', 'X16', 'X31', 'X39', 'X44', 'X32', 'X43', 'X47', 'X51', 'X60', 'X67', 'X70', 'X72', 'X74', 'X76', 'X78', 'X79']"
X41,"['X3', 'X4', 'X8', 'X15', 'X16', 'X22', 'X25', 'X35', 'X39', 'X24', 'X32', 'X43', 'X44', 'X46', 'X47', 'X51', 'X54', 'X58', 'X60', 'X72', 'X76', 'X78', 'X79', 'X86']"
X71,"['X8', 'X22', 'X26', 'X39', 'X41', 'X44', 'X46', 'X47', 'X51', 'X60', 'X24', 'X43', 'X54', 'X70', 'X75']"
X30,"['X8', 'X15', 'X16', 'X22', 'X31', 'X32', 'X35', 'X39', 'X41', 'X43', 'X44', 'X47', 'X51', 'X54', 'X60', 'X66', 'X67', 'X70', 'X76', 'X79']"
X80,"['X22', 'X30', 'X41', 'X60', 'X66', 'X71', 'X32', 'X54', 'X70']"
X61,"['X3', 'X4', 'X8', 'X16', 'X22', 'X25', 'X30', 'X31', 'X35', 'X39', 'X41', 'X44', 'X46', 'X47', 'X51', 'X58', 'X24', 'X32', 'X43', 'X67', 'X70', 'X71', 'X72', 'X75', 'X76', 'X78', 'X79']"
X2,"['X3', 'X4', 'X8', 'X16', 'X22', 'X24', 'X25', 'X30', 'X31', 'X32', 'X35', 'X44', 'X46', 'X47', 'X51', 'X58', 'X60', 'X61', 'X70', 'X72', 'X74', 'X75', 'X76', 'X78', 'X79', 'X86']"
X29,"['X2', 'X3', 'X8', 'X22', 'X25', 'X35', 'X39', 'X41', 'X46', 'X47', 'X54', 'X58', 'X60', 'X61', 'X67', 'X78']"
X10,"['X2', 'X3', 'X8', 'X15', 'X16', 'X22', 'X24', 'X25', 'X26', 'X29', 'X31', 'X32', 'X35', 'X39', 'X41', 'X43', 'X44', 'X46', 'X47', 'X56', 'X61', 'X70', 'X72', 'X74', 'X76', 'X79']"
