infectee,infectors
Ant44,['SEED']
Ant482,['Ant44']
Ant207,"['Ant482', 'Ant44']"
Ant178,['Ant482']
Ant215,"['Ant178', 'Ant207']"
Ant60,"['Ant482', 'Ant44', 'Ant215']"
Ant76,"['Ant482', 'Ant44', 'Ant60']"
Ant620,"['Ant482', 'Ant178', 'Ant207', 'Ant76', 'Ant215', 'Ant44', 'Ant60']"
Ant63,"['Ant620', 'Ant482', 'Ant44', 'Ant215', 'Ant60', 'Ant207', 'Ant178']"
Ant311,"['Ant620', 'Ant482', 'Ant44', 'Ant76', 'Ant215', 'Ant60', 'Ant63', 'Ant178', 'Ant207']"
Ant173,"['Ant620', 'Ant482', 'Ant44', 'Ant215', 'Ant63', 'Ant178', 'Ant207']"
Ant190,"['Ant482', 'Ant311', 'Ant207', 'Ant76', 'Ant178', 'Ant215', 'Ant44', 'Ant60', 'Ant63']"
Ant169,"['Ant620', 'Ant190', 'Ant482', 'Ant311', 'Ant173', 'Ant207', 'Ant178', 'Ant215', 'Ant60', 'Ant63']"
Ant64,"['Ant620', 'Ant190', 'Ant482', 'Ant44', 'Ant311', 'Ant76', 'Ant169', 'Ant60', 'Ant63', 'Ant173', 'Ant207', 'Ant178']"
Ant593,"['Ant620', 'Ant190', 'Ant44', 'Ant311', 'Ant178', 'Ant173', 'Ant207', 'Ant169', 'Ant215', 'Ant63', 'Ant64']"
Ant202,"['Ant620', 'Ant190', 'Ant482', 'Ant44', 'Ant311', 'Ant76', 'Ant593', 'Ant169', 'Ant215', 'Ant60', 'Ant63', 'Ant64', 'Ant178', 'Ant173', 'Ant207']"
Ant127,"['Ant620', 'Ant190', 'Ant482', 'Ant178', 'Ant311', 'Ant207', 'Ant202', 'Ant169', 'Ant215', 'Ant44', 'Ant63', 'Ant64']"
Ant332,"['Ant190', 'Ant482', 'Ant311', 'Ant202', 'Ant76', 'Ant169', 'Ant44', 'Ant64']"
Ant400,"['Ant620', 'Ant190', 'Ant482', 'Ant332', 'Ant127', 'Ant44', 'Ant311', 'Ant593', 'Ant169', 'Ant207', 'Ant202', 'Ant63', 'Ant64']"
Ant0,"['Ant620', 'Ant190', 'Ant127', 'Ant178', 'Ant173', 'Ant207', 'Ant593', 'Ant169', 'Ant215', 'Ant63']"
Ant100,"['Ant190', 'Ant482', 'Ant332', 'Ant44', 'Ant311', 'Ant76', 'Ant593', 'Ant400', 'Ant60', 'Ant64', 'Ant202']"
Ant117,"['Ant620', 'Ant482', 'Ant173', 'Ant311', 'Ant207', 'Ant332', 'Ant202', 'Ant0', 'Ant190', 'Ant400', 'Ant76', 'Ant593', 'Ant169', 'Ant178', 'Ant215', 'Ant127', 'Ant44', 'Ant60', 'Ant63', 'Ant64']"
